"";"spol";"regija";"leto";"kriterij";"umrli"
"78";"M";"MB";"2013";"povprecna.starost.umrlega";71,2
"79";"M";"MB";"2014";"umrli.na.1000.prebivalcev";9,6
"80";"M";"MB";"2014";"umrli.dojencki.na.1000.zivorojenih";2,6
"81";"M";"MB";"2014";"povprecna.starost.umrlega";71,7
"82";"M";"MB";"2015";"umrli.na.1000.prebivalcev";10,4
"83";"M";"MB";"2015";"umrli.dojencki.na.1000.zivorojenih";3,3
"84";"M";"MB";"2015";"povprecna.starost.umrlega";71,9
"85";"M";"MB";"2016";"umrli.na.1000.prebivalcev";10,4
"86";"M";"MB";"2016";"umrli.dojencki.na.1000.zivorojenih";2
"87";"M";"MB";"2016";"povprecna.starost.umrlega";72,1
"88";"M";"MB";"2017";"umrli.na.1000.prebivalcev";11,1
"89";"M";"MB";"2017";"umrli.dojencki.na.1000.zivorojenih";1,3
"90";"M";"MB";"2017";"povprecna.starost.umrlega";73,7
"91";"M";"MB";"2018";"umrli.na.1000.prebivalcev";11,2
"92";"M";"MB";"2018";"umrli.dojencki.na.1000.zivorojenih";2,7
"93";"M";"MB";"2018";"povprecna.starost.umrlega";73,3
"94";"M";"MB";"2019";"umrli.na.1000.prebivalcev";10,7
"95";"M";"MB";"2019";"umrli.dojencki.na.1000.zivorojenih";3,4
"96";"M";"MB";"2019";"povprecna.starost.umrlega";73,4
"97";"M";"MB";"2020";"umrli.na.1000.prebivalcev";12,4
"98";"M";"MB";"2020";"umrli.dojencki.na.1000.zivorojenih";1,5
"99";"M";"MB";"2020";"povprecna.starost.umrlega";74,5
"100";"M";"SG";"2010";"umrli.na.1000.prebivalcev";9,3
"101";"M";"SG";"2010";"umrli.dojencki.na.1000.zivorojenih";2,8
"102";"M";"SG";"2010";"povprecna.starost.umrlega";68,9
"103";"M";"SG";"2011";"umrli.na.1000.prebivalcev";10,6
"104";"M";"SG";"2011";"umrli.dojencki.na.1000.zivorojenih";5,6
"105";"M";"SG";"2011";"povprecna.starost.umrlega";70,9
"106";"M";"SG";"2012";"umrli.na.1000.prebivalcev";9,3
"107";"M";"SG";"2012";"umrli.dojencki.na.1000.zivorojenih";2,7
"108";"M";"SG";"2012";"povprecna.starost.umrlega";71,7
"109";"M";"SG";"2013";"umrli.na.1000.prebivalcev";9,9
"110";"M";"SG";"2013";"umrli.dojencki.na.1000.zivorojenih";0
"111";"M";"SG";"2013";"povprecna.starost.umrlega";71,2
"112";"M";"SG";"2014";"umrli.na.1000.prebivalcev";9
"113";"M";"SG";"2014";"umrli.dojencki.na.1000.zivorojenih";0
"114";"M";"SG";"2014";"povprecna.starost.umrlega";71,8
"115";"M";"SG";"2015";"umrli.na.1000.prebivalcev";10,1
"116";"M";"SG";"2015";"umrli.dojencki.na.1000.zivorojenih";0
"117";"M";"SG";"2015";"povprecna.starost.umrlega";71
"118";"M";"SG";"2016";"umrli.na.1000.prebivalcev";10,9
"119";"M";"SG";"2016";"umrli.dojencki.na.1000.zivorojenih";3
"120";"M";"SG";"2016";"povprecna.starost.umrlega";70,5
"121";"M";"SG";"2017";"umrli.na.1000.prebivalcev";9,7
"122";"M";"SG";"2017";"umrli.dojencki.na.1000.zivorojenih";0
"123";"M";"SG";"2017";"povprecna.starost.umrlega";74,6
"124";"M";"SG";"2018";"umrli.na.1000.prebivalcev";9,2
"125";"M";"SG";"2018";"umrli.dojencki.na.1000.zivorojenih";0
"126";"M";"SG";"2018";"povprecna.starost.umrlega";74,4
"127";"M";"SG";"2019";"umrli.na.1000.prebivalcev";11,4
"128";"M";"SG";"2019";"umrli.dojencki.na.1000.zivorojenih";2,9
"129";"M";"SG";"2019";"povprecna.starost.umrlega";73
"130";"M";"SG";"2020";"umrli.na.1000.prebivalcev";12,3
"131";"M";"SG";"2020";"umrli.dojencki.na.1000.zivorojenih";6,6
"132";"M";"SG";"2020";"povprecna.starost.umrlega";75,2
"133";"M";"CE";"2010";"umrli.na.1000.prebivalcev";9,4
"134";"M";"CE";"2010";"umrli.dojencki.na.1000.zivorojenih";1,4
"135";"M";"CE";"2010";"povprecna.starost.umrlega";70,5
"136";"M";"CE";"2011";"umrli.na.1000.prebivalcev";8,7
"137";"M";"CE";"2011";"umrli.dojencki.na.1000.zivorojenih";3,6
"138";"M";"CE";"2011";"povprecna.starost.umrlega";69,8
"139";"M";"CE";"2012";"umrli.na.1000.prebivalcev";9,8
"140";"M";"CE";"2012";"umrli.dojencki.na.1000.zivorojenih";0,7
"141";"M";"CE";"2012";"povprecna.starost.umrlega";71,3
"142";"M";"CE";"2013";"umrli.na.1000.prebivalcev";9,1
"143";"M";"CE";"2013";"umrli.dojencki.na.1000.zivorojenih";0,8
"144";"M";"CE";"2013";"povprecna.starost.umrlega";71,5
"145";"M";"CE";"2014";"umrli.na.1000.prebivalcev";8,9
"146";"M";"CE";"2014";"umrli.dojencki.na.1000.zivorojenih";0
"147";"M";"CE";"2014";"povprecna.starost.umrlega";72,2
