"";"spol";"regija";"leto";"kriterij";"umrli"
"391";"M";"NG";"2019";"umrli.na.1000.prebivalcev";10,2
"392";"M";"NG";"2019";"umrli.dojencki.na.1000.zivorojenih";7,7
"393";"M";"NG";"2019";"povprecna.starost.umrlega";75,1
"394";"M";"NG";"2020";"umrli.na.1000.prebivalcev";10,7
"395";"M";"NG";"2020";"umrli.dojencki.na.1000.zivorojenih";3,6
"396";"M";"NG";"2020";"povprecna.starost.umrlega";76,1
"397";"M";"KP";"2010";"umrli.na.1000.prebivalcev";9,8
"398";"M";"KP";"2010";"umrli.dojencki.na.1000.zivorojenih";3,5
"399";"M";"KP";"2010";"povprecna.starost.umrlega";71,9
"400";"M";"KP";"2011";"umrli.na.1000.prebivalcev";9,5
"401";"M";"KP";"2011";"umrli.dojencki.na.1000.zivorojenih";5,3
"402";"M";"KP";"2011";"povprecna.starost.umrlega";71,8
"403";"M";"KP";"2012";"umrli.na.1000.prebivalcev";8,6
"404";"M";"KP";"2012";"umrli.dojencki.na.1000.zivorojenih";3,5
"405";"M";"KP";"2012";"povprecna.starost.umrlega";72,8
"406";"M";"KP";"2013";"umrli.na.1000.prebivalcev";9,8
"407";"M";"KP";"2013";"umrli.dojencki.na.1000.zivorojenih";0
"408";"M";"KP";"2013";"povprecna.starost.umrlega";72,7
"409";"M";"KP";"2014";"umrli.na.1000.prebivalcev";8,7
"410";"M";"KP";"2014";"umrli.dojencki.na.1000.zivorojenih";7,3
"411";"M";"KP";"2014";"povprecna.starost.umrlega";72,5
"412";"M";"KP";"2015";"umrli.na.1000.prebivalcev";10,3
"413";"M";"KP";"2015";"umrli.dojencki.na.1000.zivorojenih";2
"414";"M";"KP";"2015";"povprecna.starost.umrlega";74
"415";"M";"KP";"2016";"umrli.na.1000.prebivalcev";10
"416";"M";"KP";"2016";"umrli.dojencki.na.1000.zivorojenih";1,9
"417";"M";"KP";"2016";"povprecna.starost.umrlega";73,7
"418";"M";"KP";"2017";"umrli.na.1000.prebivalcev";9,3
"419";"M";"KP";"2017";"umrli.dojencki.na.1000.zivorojenih";3,9
"420";"M";"KP";"2017";"povprecna.starost.umrlega";75,1
"421";"M";"KP";"2018";"umrli.na.1000.prebivalcev";9,8
"422";"M";"KP";"2018";"umrli.dojencki.na.1000.zivorojenih";4
"423";"M";"KP";"2018";"povprecna.starost.umrlega";74,5
"424";"M";"KP";"2019";"umrli.na.1000.prebivalcev";9,6
"425";"M";"KP";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"426";"M";"KP";"2019";"povprecna.starost.umrlega";74,2
"427";"M";"KP";"2020";"umrli.na.1000.prebivalcev";10,1
"428";"M";"KP";"2020";"umrli.dojencki.na.1000.zivorojenih";4,2
"429";"M";"KP";"2020";"povprecna.starost.umrlega";75,2
"430";"Z";"SLO";"2010";"umrli.na.1000.prebivalcev";9
"431";"Z";"SLO";"2010";"umrli.dojencki.na.1000.zivorojenih";3
"432";"Z";"SLO";"2010";"povprecna.starost.umrlega";79,3
"433";"Z";"SLO";"2011";"umrli.na.1000.prebivalcev";9,1
"434";"Z";"SLO";"2011";"umrli.dojencki.na.1000.zivorojenih";2,1
"435";"Z";"SLO";"2011";"povprecna.starost.umrlega";79,7
"436";"Z";"SLO";"2012";"umrli.na.1000.prebivalcev";9,5
"437";"Z";"SLO";"2012";"umrli.dojencki.na.1000.zivorojenih";1,7
"438";"Z";"SLO";"2012";"povprecna.starost.umrlega";80
"439";"Z";"SLO";"2013";"umrli.na.1000.prebivalcev";9,4
"440";"Z";"SLO";"2013";"umrli.dojencki.na.1000.zivorojenih";2,9
"441";"Z";"SLO";"2013";"povprecna.starost.umrlega";80,3
"442";"Z";"SLO";"2014";"umrli.na.1000.prebivalcev";9,3
"443";"Z";"SLO";"2014";"umrli.dojencki.na.1000.zivorojenih";2
"444";"Z";"SLO";"2014";"povprecna.starost.umrlega";80,9
"445";"Z";"SLO";"2015";"umrli.na.1000.prebivalcev";9,7
"446";"Z";"SLO";"2015";"umrli.dojencki.na.1000.zivorojenih";1,5
"447";"Z";"SLO";"2015";"povprecna.starost.umrlega";81
"448";"Z";"SLO";"2016";"umrli.na.1000.prebivalcev";9,6
"449";"Z";"SLO";"2016";"umrli.dojencki.na.1000.zivorojenih";2,1
"450";"Z";"SLO";"2016";"povprecna.starost.umrlega";81,4
"451";"Z";"SLO";"2017";"umrli.na.1000.prebivalcev";10
"452";"Z";"SLO";"2017";"umrli.dojencki.na.1000.zivorojenih";2,2
"453";"Z";"SLO";"2017";"povprecna.starost.umrlega";81,4
"454";"Z";"SLO";"2018";"umrli.na.1000.prebivalcev";10
"455";"Z";"SLO";"2018";"umrli.dojencki.na.1000.zivorojenih";1,2
"456";"Z";"SLO";"2018";"povprecna.starost.umrlega";81,6
"457";"Z";"SLO";"2019";"umrli.na.1000.prebivalcev";10
"458";"Z";"SLO";"2019";"umrli.dojencki.na.1000.zivorojenih";1,6
"459";"Z";"SLO";"2019";"povprecna.starost.umrlega";82,1
"460";"Z";"SLO";"2020";"umrli.na.1000.prebivalcev";11,7
"461";"Z";"SLO";"2020";"umrli.dojencki.na.1000.zivorojenih";1,9
"462";"Z";"SLO";"2020";"povprecna.starost.umrlega";82,9
"463";"Z";"MS";"2010";"umrli.na.1000.prebivalcev";11,4
"464";"Z";"MS";"2010";"umrli.dojencki.na.1000.zivorojenih";0
"465";"Z";"MS";"2010";"povprecna.starost.umrlega";79,6
"466";"Z";"MS";"2011";"umrli.na.1000.prebivalcev";12,1
"467";"Z";"MS";"2011";"umrli.dojencki.na.1000.zivorojenih";4
"468";"Z";"MS";"2011";"povprecna.starost.umrlega";79,6
"469";"Z";"MS";"2012";"umrli.na.1000.prebivalcev";11,9
"470";"Z";"MS";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"471";"Z";"MS";"2012";"povprecna.starost.umrlega";80,8
"472";"Z";"MS";"2013";"umrli.na.1000.prebivalcev";11,7
"473";"Z";"MS";"2013";"umrli.dojencki.na.1000.zivorojenih";0
"474";"Z";"MS";"2013";"povprecna.starost.umrlega";81
"475";"Z";"MS";"2014";"umrli.na.1000.prebivalcev";11,6
"476";"Z";"MS";"2014";"umrli.dojencki.na.1000.zivorojenih";2,1
"477";"Z";"MS";"2014";"povprecna.starost.umrlega";81,3
"478";"Z";"MS";"2015";"umrli.na.1000.prebivalcev";12
"479";"Z";"MS";"2015";"umrli.dojencki.na.1000.zivorojenih";2
"480";"Z";"MS";"2015";"povprecna.starost.umrlega";81,8
"481";"Z";"MS";"2016";"umrli.na.1000.prebivalcev";11,9
"482";"Z";"MS";"2016";"umrli.dojencki.na.1000.zivorojenih";0
"483";"Z";"MS";"2016";"povprecna.starost.umrlega";81,7
"484";"Z";"MS";"2017";"umrli.na.1000.prebivalcev";12,1
"485";"Z";"MS";"2017";"umrli.dojencki.na.1000.zivorojenih";2
"486";"Z";"MS";"2017";"povprecna.starost.umrlega";81,5
"487";"Z";"MS";"2018";"umrli.na.1000.prebivalcev";12,3
"488";"Z";"MS";"2018";"umrli.dojencki.na.1000.zivorojenih";0
"489";"Z";"MS";"2018";"povprecna.starost.umrlega";81,7
"490";"Z";"MS";"2019";"umrli.na.1000.prebivalcev";13,5
"491";"Z";"MS";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"492";"Z";"MS";"2019";"povprecna.starost.umrlega";81,8
"493";"Z";"MS";"2020";"umrli.na.1000.prebivalcev";15,3
"494";"Z";"MS";"2020";"umrli.dojencki.na.1000.zivorojenih";2,5
"495";"Z";"MS";"2020";"povprecna.starost.umrlega";82,6
"496";"Z";"MB";"2010";"umrli.na.1000.prebivalcev";9,7
"497";"Z";"MB";"2010";"umrli.dojencki.na.1000.zivorojenih";3,3
"498";"Z";"MB";"2010";"povprecna.starost.umrlega";78,6
"499";"Z";"MB";"2011";"umrli.na.1000.prebivalcev";9,8
"500";"Z";"MB";"2011";"umrli.dojencki.na.1000.zivorojenih";2,7
"501";"Z";"MB";"2011";"povprecna.starost.umrlega";78,9
"502";"Z";"MB";"2012";"umrli.na.1000.prebivalcev";10,1
"503";"Z";"MB";"2012";"umrli.dojencki.na.1000.zivorojenih";2,1
"504";"Z";"MB";"2012";"povprecna.starost.umrlega";79,3
"505";"Z";"MB";"2013";"umrli.na.1000.prebivalcev";10,3
"506";"Z";"MB";"2013";"umrli.dojencki.na.1000.zivorojenih";1,4
"507";"Z";"MB";"2013";"povprecna.starost.umrlega";80,2
"508";"Z";"MB";"2014";"umrli.na.1000.prebivalcev";9,8
"509";"Z";"MB";"2014";"umrli.dojencki.na.1000.zivorojenih";1,4
"510";"Z";"MB";"2014";"povprecna.starost.umrlega";80,6
"511";"Z";"MB";"2015";"umrli.na.1000.prebivalcev";11,2
"512";"Z";"MB";"2015";"umrli.dojencki.na.1000.zivorojenih";2,1
"513";"Z";"MB";"2015";"povprecna.starost.umrlega";80,1
"514";"Z";"MB";"2016";"umrli.na.1000.prebivalcev";10,8
"515";"Z";"MB";"2016";"umrli.dojencki.na.1000.zivorojenih";2,8
"516";"Z";"MB";"2016";"povprecna.starost.umrlega";80,8
"517";"Z";"MB";"2017";"umrli.na.1000.prebivalcev";10,9
"518";"Z";"MB";"2017";"umrli.dojencki.na.1000.zivorojenih";2,2
"519";"Z";"MB";"2017";"povprecna.starost.umrlega";80,5
"520";"Z";"MB";"2018";"umrli.na.1000.prebivalcev";11,2
"521";"Z";"MB";"2018";"umrli.dojencki.na.1000.zivorojenih";1,5
"522";"Z";"MB";"2018";"povprecna.starost.umrlega";81,1
"523";"Z";"MB";"2019";"umrli.na.1000.prebivalcev";10,5
"524";"Z";"MB";"2019";"umrli.dojencki.na.1000.zivorojenih";3,6
"525";"Z";"MB";"2019";"povprecna.starost.umrlega";80,8
"526";"Z";"MB";"2020";"umrli.na.1000.prebivalcev";13,2
"527";"Z";"MB";"2020";"umrli.dojencki.na.1000.zivorojenih";2,4
"528";"Z";"MB";"2020";"povprecna.starost.umrlega";82,1
"529";"Z";"SG";"2010";"umrli.na.1000.prebivalcev";8,7
"530";"Z";"SG";"2010";"umrli.dojencki.na.1000.zivorojenih";0
"531";"Z";"SG";"2010";"povprecna.starost.umrlega";79,2
"532";"Z";"SG";"2011";"umrli.na.1000.prebivalcev";9,8
"533";"Z";"SG";"2011";"umrli.dojencki.na.1000.zivorojenih";2,8
"534";"Z";"SG";"2011";"povprecna.starost.umrlega";79,9
"535";"Z";"SG";"2012";"umrli.na.1000.prebivalcev";9,3
"536";"Z";"SG";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"537";"Z";"SG";"2012";"povprecna.starost.umrlega";79,8
"538";"Z";"SG";"2013";"umrli.na.1000.prebivalcev";9,3
"539";"Z";"SG";"2013";"umrli.dojencki.na.1000.zivorojenih";6,1
"540";"Z";"SG";"2013";"povprecna.starost.umrlega";78,6
"541";"Z";"SG";"2014";"umrli.na.1000.prebivalcev";9,5
"542";"Z";"SG";"2014";"umrli.dojencki.na.1000.zivorojenih";0
"543";"Z";"SG";"2014";"povprecna.starost.umrlega";81,1
"544";"Z";"SG";"2015";"umrli.na.1000.prebivalcev";9,6
"545";"Z";"SG";"2015";"umrli.dojencki.na.1000.zivorojenih";0
"546";"Z";"SG";"2015";"povprecna.starost.umrlega";79,6
"547";"Z";"SG";"2016";"umrli.na.1000.prebivalcev";9,6
"548";"Z";"SG";"2016";"umrli.dojencki.na.1000.zivorojenih";2,8
"549";"Z";"SG";"2016";"povprecna.starost.umrlega";80,5
"550";"Z";"SG";"2017";"umrli.na.1000.prebivalcev";9,7
"551";"Z";"SG";"2017";"umrli.dojencki.na.1000.zivorojenih";0
"552";"Z";"SG";"2017";"povprecna.starost.umrlega";81
"553";"Z";"SG";"2018";"umrli.na.1000.prebivalcev";10,8
"554";"Z";"SG";"2018";"umrli.dojencki.na.1000.zivorojenih";3,1
"555";"Z";"SG";"2018";"povprecna.starost.umrlega";80,4
"556";"Z";"SG";"2019";"umrli.na.1000.prebivalcev";10,2
"557";"Z";"SG";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"558";"Z";"SG";"2019";"povprecna.starost.umrlega";82
"559";"Z";"SG";"2020";"umrli.na.1000.prebivalcev";12,3
"560";"Z";"SG";"2020";"umrli.dojencki.na.1000.zivorojenih";0
"561";"Z";"SG";"2020";"povprecna.starost.umrlega";82
"562";"Z";"CE";"2010";"umrli.na.1000.prebivalcev";9,1
"563";"Z";"CE";"2010";"umrli.dojencki.na.1000.zivorojenih";3,6
"564";"Z";"CE";"2010";"povprecna.starost.umrlega";78,9
"565";"Z";"CE";"2011";"umrli.na.1000.prebivalcev";9,5
"566";"Z";"CE";"2011";"umrli.dojencki.na.1000.zivorojenih";2,2
"567";"Z";"CE";"2011";"povprecna.starost.umrlega";79,5
"568";"Z";"CE";"2012";"umrli.na.1000.prebivalcev";9,9
"569";"Z";"CE";"2012";"umrli.dojencki.na.1000.zivorojenih";2,2
"570";"Z";"CE";"2012";"povprecna.starost.umrlega";78,9
"571";"Z";"CE";"2013";"umrli.na.1000.prebivalcev";9,8
"572";"Z";"CE";"2013";"umrli.dojencki.na.1000.zivorojenih";3,7
"573";"Z";"CE";"2013";"povprecna.starost.umrlega";80
"574";"Z";"CE";"2014";"umrli.na.1000.prebivalcev";9,7
"575";"Z";"CE";"2014";"umrli.dojencki.na.1000.zivorojenih";1,6
"576";"Z";"CE";"2014";"povprecna.starost.umrlega";80
"577";"Z";"CE";"2015";"umrli.na.1000.prebivalcev";9,7
"578";"Z";"CE";"2015";"umrli.dojencki.na.1000.zivorojenih";1,6
"579";"Z";"CE";"2015";"povprecna.starost.umrlega";80,3
"580";"Z";"CE";"2016";"umrli.na.1000.prebivalcev";9,8
"581";"Z";"CE";"2016";"umrli.dojencki.na.1000.zivorojenih";1,6
"582";"Z";"CE";"2016";"povprecna.starost.umrlega";81,1
"583";"Z";"CE";"2017";"umrli.na.1000.prebivalcev";10,3
"584";"Z";"CE";"2017";"umrli.dojencki.na.1000.zivorojenih";1,7
"585";"Z";"CE";"2017";"povprecna.starost.umrlega";81
"586";"Z";"CE";"2018";"umrli.na.1000.prebivalcev";9,8
"587";"Z";"CE";"2018";"umrli.dojencki.na.1000.zivorojenih";0
"588";"Z";"CE";"2018";"povprecna.starost.umrlega";81,3
"589";"Z";"CE";"2019";"umrli.na.1000.prebivalcev";9,8
"590";"Z";"CE";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"591";"Z";"CE";"2019";"povprecna.starost.umrlega";82,2
"592";"Z";"CE";"2020";"umrli.na.1000.prebivalcev";12,2
"593";"Z";"CE";"2020";"umrli.dojencki.na.1000.zivorojenih";0,9
"594";"Z";"CE";"2020";"povprecna.starost.umrlega";82,4
"595";"Z";"ZA";"2010";"umrli.na.1000.prebivalcev";10,9
"596";"Z";"ZA";"2010";"umrli.dojencki.na.1000.zivorojenih";5,1
"597";"Z";"ZA";"2010";"povprecna.starost.umrlega";79,6
"598";"Z";"ZA";"2011";"umrli.na.1000.prebivalcev";11,7
"599";"Z";"ZA";"2011";"umrli.dojencki.na.1000.zivorojenih";0
"600";"Z";"ZA";"2011";"povprecna.starost.umrlega";78,7
"601";"Z";"ZA";"2012";"umrli.na.1000.prebivalcev";11,4
"602";"Z";"ZA";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"603";"Z";"ZA";"2012";"povprecna.starost.umrlega";79,6
"604";"Z";"ZA";"2013";"umrli.na.1000.prebivalcev";11,7
"605";"Z";"ZA";"2013";"umrli.dojencki.na.1000.zivorojenih";15,4
"606";"Z";"ZA";"2013";"povprecna.starost.umrlega";79,4
"607";"Z";"ZA";"2014";"umrli.na.1000.prebivalcev";11,5
"608";"Z";"ZA";"2014";"umrli.dojencki.na.1000.zivorojenih";4,7
"609";"Z";"ZA";"2014";"povprecna.starost.umrlega";79,9
"610";"Z";"ZA";"2015";"umrli.na.1000.prebivalcev";10,6
"611";"Z";"ZA";"2015";"umrli.dojencki.na.1000.zivorojenih";7,9
"612";"Z";"ZA";"2015";"povprecna.starost.umrlega";80,7
"613";"Z";"ZA";"2016";"umrli.na.1000.prebivalcev";10,9
"614";"Z";"ZA";"2016";"umrli.dojencki.na.1000.zivorojenih";0
"615";"Z";"ZA";"2016";"povprecna.starost.umrlega";80,3
"616";"Z";"ZA";"2017";"umrli.na.1000.prebivalcev";11,5
"617";"Z";"ZA";"2017";"umrli.dojencki.na.1000.zivorojenih";0
"618";"Z";"ZA";"2017";"povprecna.starost.umrlega";81,8
"619";"Z";"ZA";"2018";"umrli.na.1000.prebivalcev";11,1
"620";"Z";"ZA";"2018";"umrli.dojencki.na.1000.zivorojenih";4,1
"621";"Z";"ZA";"2018";"povprecna.starost.umrlega";80,7
"622";"Z";"ZA";"2019";"umrli.na.1000.prebivalcev";10,2
"623";"Z";"ZA";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"624";"Z";"ZA";"2019";"povprecna.starost.umrlega";83,7
"625";"Z";"ZA";"2020";"umrli.na.1000.prebivalcev";12,7
"626";"Z";"ZA";"2020";"umrli.dojencki.na.1000.zivorojenih";4,8
"627";"Z";"ZA";"2020";"povprecna.starost.umrlega";82,2
"628";"Z";"KK";"2010";"umrli.na.1000.prebivalcev";10,9
"629";"Z";"KK";"2010";"umrli.dojencki.na.1000.zivorojenih";0
"630";"Z";"KK";"2010";"povprecna.starost.umrlega";78,8
"631";"Z";"KK";"2011";"umrli.na.1000.prebivalcev";12
"632";"Z";"KK";"2011";"umrli.dojencki.na.1000.zivorojenih";0
"633";"Z";"KK";"2011";"povprecna.starost.umrlega";78,5
"634";"Z";"KK";"2012";"umrli.na.1000.prebivalcev";11,9
"635";"Z";"KK";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"636";"Z";"KK";"2012";"povprecna.starost.umrlega";80
"637";"Z";"KK";"2013";"umrli.na.1000.prebivalcev";11,1
"638";"Z";"KK";"2013";"umrli.dojencki.na.1000.zivorojenih";0
"639";"Z";"KK";"2013";"povprecna.starost.umrlega";80,3
"640";"Z";"KK";"2014";"umrli.na.1000.prebivalcev";11,5
"641";"Z";"KK";"2014";"umrli.dojencki.na.1000.zivorojenih";3,1
"642";"Z";"KK";"2014";"povprecna.starost.umrlega";81,4
"643";"Z";"KK";"2015";"umrli.na.1000.prebivalcev";11,8
"644";"Z";"KK";"2015";"umrli.dojencki.na.1000.zivorojenih";0
"645";"Z";"KK";"2015";"povprecna.starost.umrlega";81,1
"646";"Z";"KK";"2016";"umrli.na.1000.prebivalcev";10,9
"647";"Z";"KK";"2016";"umrli.dojencki.na.1000.zivorojenih";0
"648";"Z";"KK";"2016";"povprecna.starost.umrlega";81,8
"649";"Z";"KK";"2017";"umrli.na.1000.prebivalcev";10,8
"650";"Z";"KK";"2017";"umrli.dojencki.na.1000.zivorojenih";2,7
"651";"Z";"KK";"2017";"povprecna.starost.umrlega";81,5
"652";"Z";"KK";"2018";"umrli.na.1000.prebivalcev";11,4
"653";"Z";"KK";"2018";"umrli.dojencki.na.1000.zivorojenih";0
"654";"Z";"KK";"2018";"povprecna.starost.umrlega";81,6
"655";"Z";"KK";"2019";"umrli.na.1000.prebivalcev";10,8
"656";"Z";"KK";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"657";"Z";"KK";"2019";"povprecna.starost.umrlega";82,7
"658";"Z";"KK";"2020";"umrli.na.1000.prebivalcev";13,3
"659";"Z";"KK";"2020";"umrli.dojencki.na.1000.zivorojenih";0
"660";"Z";"KK";"2020";"povprecna.starost.umrlega";83,2
"661";"Z";"NM";"2010";"umrli.na.1000.prebivalcev";9,3
"662";"Z";"NM";"2010";"umrli.dojencki.na.1000.zivorojenih";1,2
"663";"Z";"NM";"2010";"povprecna.starost.umrlega";79,8
"664";"Z";"NM";"2011";"umrli.na.1000.prebivalcev";9,2
"665";"Z";"NM";"2011";"umrli.dojencki.na.1000.zivorojenih";1,3
"666";"Z";"NM";"2011";"povprecna.starost.umrlega";78,9
"667";"Z";"NM";"2012";"umrli.na.1000.prebivalcev";9,2
"668";"Z";"NM";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"669";"Z";"NM";"2012";"povprecna.starost.umrlega";80,5
"670";"Z";"NM";"2013";"umrli.na.1000.prebivalcev";9,6
"671";"Z";"NM";"2013";"umrli.dojencki.na.1000.zivorojenih";4,1
"672";"Z";"NM";"2013";"povprecna.starost.umrlega";80,3
"673";"Z";"NM";"2014";"umrli.na.1000.prebivalcev";9,4
"674";"Z";"NM";"2014";"umrli.dojencki.na.1000.zivorojenih";2,6
"675";"Z";"NM";"2014";"povprecna.starost.umrlega";81,3
"676";"Z";"NM";"2015";"umrli.na.1000.prebivalcev";10,4
"677";"Z";"NM";"2015";"umrli.dojencki.na.1000.zivorojenih";0
"678";"Z";"NM";"2015";"povprecna.starost.umrlega";81,5
"679";"Z";"NM";"2016";"umrli.na.1000.prebivalcev";10,3
"680";"Z";"NM";"2016";"umrli.dojencki.na.1000.zivorojenih";2,7
"681";"Z";"NM";"2016";"povprecna.starost.umrlega";81,8
"682";"Z";"NM";"2017";"umrli.na.1000.prebivalcev";10,4
"683";"Z";"NM";"2017";"umrli.dojencki.na.1000.zivorojenih";2,5
"684";"Z";"NM";"2017";"povprecna.starost.umrlega";80,9
"685";"Z";"NM";"2018";"umrli.na.1000.prebivalcev";10,8
"686";"Z";"NM";"2018";"umrli.dojencki.na.1000.zivorojenih";0
"687";"Z";"NM";"2018";"povprecna.starost.umrlega";82,1
"688";"Z";"NM";"2019";"umrli.na.1000.prebivalcev";10,7
"689";"Z";"NM";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"690";"Z";"NM";"2019";"povprecna.starost.umrlega";82,9
"691";"Z";"NM";"2020";"umrli.na.1000.prebivalcev";12
"692";"Z";"NM";"2020";"umrli.dojencki.na.1000.zivorojenih";1,4
"693";"Z";"NM";"2020";"povprecna.starost.umrlega";83,4
"694";"Z";"LJ";"2010";"umrli.na.1000.prebivalcev";7,6
"695";"Z";"LJ";"2010";"umrli.dojencki.na.1000.zivorojenih";3,2
"696";"Z";"LJ";"2010";"povprecna.starost.umrlega";79,2
"697";"Z";"LJ";"2011";"umrli.na.1000.prebivalcev";7,6
"698";"Z";"LJ";"2011";"umrli.dojencki.na.1000.zivorojenih";2,6
"699";"Z";"LJ";"2011";"povprecna.starost.umrlega";80,3
"700";"Z";"LJ";"2012";"umrli.na.1000.prebivalcev";8,2
"701";"Z";"LJ";"2012";"umrli.dojencki.na.1000.zivorojenih";1,6
"702";"Z";"LJ";"2012";"povprecna.starost.umrlega";80,2
"703";"Z";"LJ";"2013";"umrli.na.1000.prebivalcev";7,9
"704";"Z";"LJ";"2013";"umrli.dojencki.na.1000.zivorojenih";3,4
"705";"Z";"LJ";"2013";"povprecna.starost.umrlega";80,1
"706";"Z";"LJ";"2014";"umrli.na.1000.prebivalcev";7,7
"707";"Z";"LJ";"2014";"umrli.dojencki.na.1000.zivorojenih";1,7
"708";"Z";"LJ";"2014";"povprecna.starost.umrlega";80,8
"709";"Z";"LJ";"2015";"umrli.na.1000.prebivalcev";7,9
"710";"Z";"LJ";"2015";"umrli.dojencki.na.1000.zivorojenih";1,8
"711";"Z";"LJ";"2015";"povprecna.starost.umrlega";80,8
"712";"Z";"LJ";"2016";"umrli.na.1000.prebivalcev";7,8
"713";"Z";"LJ";"2016";"umrli.dojencki.na.1000.zivorojenih";1,8
"714";"Z";"LJ";"2016";"povprecna.starost.umrlega";81,6
"715";"Z";"LJ";"2017";"umrli.na.1000.prebivalcev";8,4
"716";"Z";"LJ";"2017";"umrli.dojencki.na.1000.zivorojenih";4
"717";"Z";"LJ";"2017";"povprecna.starost.umrlega";81,5
"718";"Z";"LJ";"2018";"umrli.na.1000.prebivalcev";8,2
"719";"Z";"LJ";"2018";"umrli.dojencki.na.1000.zivorojenih";1,1
"720";"Z";"LJ";"2018";"povprecna.starost.umrlega";81,7
"721";"Z";"LJ";"2019";"umrli.na.1000.prebivalcev";8,6
"722";"Z";"LJ";"2019";"umrli.dojencki.na.1000.zivorojenih";2,3
"723";"Z";"LJ";"2019";"povprecna.starost.umrlega";82
"724";"Z";"LJ";"2020";"umrli.na.1000.prebivalcev";9,7
"725";"Z";"LJ";"2020";"umrli.dojencki.na.1000.zivorojenih";1,2
"726";"Z";"LJ";"2020";"povprecna.starost.umrlega";83,5
"727";"Z";"KR";"2010";"umrli.na.1000.prebivalcev";8,1
"728";"Z";"KR";"2010";"umrli.dojencki.na.1000.zivorojenih";3,4
"729";"Z";"KR";"2010";"povprecna.starost.umrlega";79,2
"730";"Z";"KR";"2011";"umrli.na.1000.prebivalcev";7,8
"731";"Z";"KR";"2011";"umrli.dojencki.na.1000.zivorojenih";0,9
"732";"Z";"KR";"2011";"povprecna.starost.umrlega";79,4
"733";"Z";"KR";"2012";"umrli.na.1000.prebivalcev";8
"734";"Z";"KR";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"735";"Z";"KR";"2012";"povprecna.starost.umrlega";80,1
"736";"Z";"KR";"2013";"umrli.na.1000.prebivalcev";8,7
"737";"Z";"KR";"2013";"umrli.dojencki.na.1000.zivorojenih";1,8
"738";"Z";"KR";"2013";"povprecna.starost.umrlega";80,4
"739";"Z";"KR";"2014";"umrli.na.1000.prebivalcev";8,5
"740";"Z";"KR";"2014";"umrli.dojencki.na.1000.zivorojenih";2,9
"741";"Z";"KR";"2014";"povprecna.starost.umrlega";80,7
"742";"Z";"KR";"2015";"umrli.na.1000.prebivalcev";8,8
"743";"Z";"KR";"2015";"umrli.dojencki.na.1000.zivorojenih";1
"744";"Z";"KR";"2015";"povprecna.starost.umrlega";81,4
"745";"Z";"KR";"2016";"umrli.na.1000.prebivalcev";8,6
"746";"Z";"KR";"2016";"umrli.dojencki.na.1000.zivorojenih";0
"747";"Z";"KR";"2016";"povprecna.starost.umrlega";81,6
"748";"Z";"KR";"2017";"umrli.na.1000.prebivalcev";9,4
"749";"Z";"KR";"2017";"umrli.dojencki.na.1000.zivorojenih";0
"750";"Z";"KR";"2017";"povprecna.starost.umrlega";80,9
"751";"Z";"KR";"2018";"umrli.na.1000.prebivalcev";9,3
"752";"Z";"KR";"2018";"umrli.dojencki.na.1000.zivorojenih";3,2
"753";"Z";"KR";"2018";"povprecna.starost.umrlega";81,3
"754";"Z";"KR";"2019";"umrli.na.1000.prebivalcev";9,7
"755";"Z";"KR";"2019";"umrli.dojencki.na.1000.zivorojenih";0
"756";"Z";"KR";"2019";"povprecna.starost.umrlega";82,3
"757";"Z";"KR";"2020";"umrli.na.1000.prebivalcev";11,4
"758";"Z";"KR";"2020";"umrli.dojencki.na.1000.zivorojenih";5,1
"759";"Z";"KR";"2020";"povprecna.starost.umrlega";82,7
"760";"Z";"PO";"2010";"umrli.na.1000.prebivalcev";10,9
"761";"Z";"PO";"2010";"umrli.dojencki.na.1000.zivorojenih";0
"762";"Z";"PO";"2010";"povprecna.starost.umrlega";82
"763";"Z";"PO";"2011";"umrli.na.1000.prebivalcev";9,7
"764";"Z";"PO";"2011";"umrli.dojencki.na.1000.zivorojenih";0
"765";"Z";"PO";"2011";"povprecna.starost.umrlega";82
"766";"Z";"PO";"2012";"umrli.na.1000.prebivalcev";11,2
"767";"Z";"PO";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"768";"Z";"PO";"2012";"povprecna.starost.umrlega";81,4
"769";"Z";"PO";"2013";"umrli.na.1000.prebivalcev";9,6
"770";"Z";"PO";"2013";"umrli.dojencki.na.1000.zivorojenih";0
"771";"Z";"PO";"2013";"povprecna.starost.umrlega";82,4
"772";"Z";"PO";"2014";"umrli.na.1000.prebivalcev";11,7
"773";"Z";"PO";"2014";"umrli.dojencki.na.1000.zivorojenih";3,6
