"";"leto";"spol";"starostne.skupine";"izobrazba";"stevilo.umrlih.izobrazba";"stan";"stevilo.umrlih.stan"
"88";2010;"M";"35-39";"brez";"7";"razvezan/a";3
"89";2010;"M";"35-39";"OS";"19";"vdovec/vdova";0
"90";2010;"M";"35-39";"OS";"19";"porocen/a";20
"91";2010;"M";"35-39";"OS";"19";"samski/a";64
"92";2010;"M";"35-39";"OS";"19";"razvezan/a";3
"93";2010;"M";"35-39";"SS";"52";"vdovec/vdova";0
"94";2010;"M";"35-39";"SS";"52";"porocen/a";20
"95";2010;"M";"35-39";"SS";"52";"samski/a";64
"96";2010;"M";"35-39";"SS";"52";"razvezan/a";3
"97";2010;"M";"35-39";"VS";"9";"vdovec/vdova";0
"98";2010;"M";"35-39";"VS";"9";"porocen/a";20
"99";2010;"M";"35-39";"VS";"9";"samski/a";64
"100";2010;"M";"35-39";"VS";"9";"razvezan/a";3
"101";2010;"M";"35-39";"neznano";"0";"vdovec/vdova";0
"102";2010;"M";"35-39";"neznano";"0";"porocen/a";20
"103";2010;"M";"35-39";"neznano";"0";"samski/a";64
"104";2010;"M";"35-39";"neznano";"0";"razvezan/a";3
"105";2010;"M";"40-44";"brez";"11";"vdovec/vdova";1
"106";2010;"M";"40-44";"brez";"11";"razvezan/a";15
"107";2010;"M";"40-44";"brez";"11";"samski/a";98
"108";2010;"M";"40-44";"brez";"11";"porocen/a";55
"109";2010;"M";"40-44";"OS";"47";"vdovec/vdova";1
"110";2010;"M";"40-44";"OS";"47";"razvezan/a";15
"111";2010;"M";"40-44";"OS";"47";"samski/a";98
"112";2010;"M";"40-44";"OS";"47";"porocen/a";55
"113";2010;"M";"40-44";"SS";"101";"vdovec/vdova";1
"114";2010;"M";"40-44";"SS";"101";"razvezan/a";15
"115";2010;"M";"40-44";"SS";"101";"samski/a";98
"116";2010;"M";"40-44";"SS";"101";"porocen/a";55
"117";2010;"M";"40-44";"VS";"9";"vdovec/vdova";1
"118";2010;"M";"40-44";"VS";"9";"razvezan/a";15
"119";2010;"M";"40-44";"VS";"9";"samski/a";98
"120";2010;"M";"40-44";"VS";"9";"porocen/a";55
"121";2010;"M";"40-44";"neznano";"1";"vdovec/vdova";1
"122";2010;"M";"40-44";"neznano";"1";"razvezan/a";15
"123";2010;"M";"40-44";"neznano";"1";"samski/a";98
"124";2010;"M";"40-44";"neznano";"1";"porocen/a";55
"125";2010;"M";"45-49";"brez";"21";"razvezan/a";41
"126";2010;"M";"45-49";"brez";"21";"vdovec/vdova";1
"127";2010;"M";"45-49";"brez";"21";"samski/a";129
