"";"obcina";"leto";"spol";"stevilo.umrlih"
"686";"Dobrova - Polhov Gradec";"2016";"Z";23
"687";"Dobrova - Polhov Gradec";"2017";"M";27
"688";"Dobrova - Polhov Gradec";"2017";"Z";20
"689";"Dobrova - Polhov Gradec";"2018";"M";37
"690";"Dobrova - Polhov Gradec";"2018";"Z";15
"691";"Dobrova - Polhov Gradec";"2019";"M";25
"692";"Dobrova - Polhov Gradec";"2019";"Z";31
"693";"Dobrova - Polhov Gradec";"2020";"M";39
"694";"Dobrova - Polhov Gradec";"2020";"Z";14
"695";"Dobrovnik";"2010";"M";8
"696";"Dobrovnik";"2010";"Z";4
"697";"Dobrovnik";"2011";"M";6
"698";"Dobrovnik";"2011";"Z";8
"699";"Dobrovnik";"2012";"M";4
"700";"Dobrovnik";"2012";"Z";6
"701";"Dobrovnik";"2013";"M";6
"702";"Dobrovnik";"2013";"Z";8
"703";"Dobrovnik";"2014";"M";10
"704";"Dobrovnik";"2014";"Z";11
"705";"Dobrovnik";"2015";"M";3
"706";"Dobrovnik";"2015";"Z";4
"707";"Dobrovnik";"2016";"M";6
"708";"Dobrovnik";"2016";"Z";8
"709";"Dobrovnik";"2017";"M";7
"710";"Dobrovnik";"2017";"Z";9
"711";"Dobrovnik";"2018";"M";3
"712";"Dobrovnik";"2018";"Z";5
"713";"Dobrovnik";"2019";"M";5
"714";"Dobrovnik";"2019";"Z";16
"715";"Dobrovnik";"2020";"M";7
"716";"Dobrovnik";"2020";"Z";11
"717";"Dol pri Ljubljani";"2010";"M";17
"718";"Dol pri Ljubljani";"2010";"Z";18
"719";"Dol pri Ljubljani";"2011";"M";14
"720";"Dol pri Ljubljani";"2011";"Z";22
"721";"Dol pri Ljubljani";"2012";"M";15
"722";"Dol pri Ljubljani";"2012";"Z";11
"723";"Dol pri Ljubljani";"2013";"M";21
"724";"Dol pri Ljubljani";"2013";"Z";9
"725";"Dol pri Ljubljani";"2014";"M";11
"726";"Dol pri Ljubljani";"2014";"Z";14
"727";"Dol pri Ljubljani";"2015";"M";21
"728";"Dol pri Ljubljani";"2015";"Z";12
"729";"Dol pri Ljubljani";"2016";"M";16
"730";"Dol pri Ljubljani";"2016";"Z";16
"731";"Dol pri Ljubljani";"2017";"M";19
"732";"Dol pri Ljubljani";"2017";"Z";16
"733";"Dol pri Ljubljani";"2018";"M";28
"734";"Dol pri Ljubljani";"2018";"Z";9
"735";"Dol pri Ljubljani";"2019";"M";27
"736";"Dol pri Ljubljani";"2019";"Z";14
"737";"Dol pri Ljubljani";"2020";"M";18
"738";"Dol pri Ljubljani";"2020";"Z";21
"739";"Dolenjske Toplice";"2010";"M";17
"740";"Dolenjske Toplice";"2010";"Z";16
"741";"Dolenjske Toplice";"2011";"M";10
"742";"Dolenjske Toplice";"2011";"Z";9
"743";"Dolenjske Toplice";"2012";"M";9
"744";"Dolenjske Toplice";"2012";"Z";10
"745";"Dolenjske Toplice";"2013";"M";19
"746";"Dolenjske Toplice";"2013";"Z";12
"747";"Dolenjske Toplice";"2014";"M";13
"748";"Dolenjske Toplice";"2014";"Z";8
"749";"Dolenjske Toplice";"2015";"M";13
"750";"Dolenjske Toplice";"2015";"Z";9
"751";"Dolenjske Toplice";"2016";"M";9
"752";"Dolenjske Toplice";"2016";"Z";14
"753";"Dolenjske Toplice";"2017";"M";13
"754";"Dolenjske Toplice";"2017";"Z";18
"755";"Dolenjske Toplice";"2018";"M";11
"756";"Dolenjske Toplice";"2018";"Z";11
"757";"Dolenjske Toplice";"2019";"M";15
"758";"Dolenjske Toplice";"2019";"Z";11
"759";"Dolenjske Toplice";"2020";"M";30
"760";"Dolenjske Toplice";"2020";"Z";18
"761";"Domžale";"2010";"M";111
"762";"Domžale";"2010";"Z";99
"763";"Domžale";"2011";"M";105
"764";"Domžale";"2011";"Z";124
"765";"Domžale";"2012";"M";118
"766";"Domžale";"2012";"Z";114
"767";"Domžale";"2013";"M";120
"768";"Domžale";"2013";"Z";122
"769";"Domžale";"2014";"M";131
"770";"Domžale";"2014";"Z";97
"771";"Domžale";"2015";"M";127
"772";"Domžale";"2015";"Z";129
"773";"Domžale";"2016";"M";139
"774";"Domžale";"2016";"Z";123
"775";"Domžale";"2017";"M";129
"776";"Domžale";"2017";"Z";131
"777";"Domžale";"2018";"M";121
"778";"Domžale";"2018";"Z";105
"779";"Domžale";"2019";"M";108
"780";"Domžale";"2019";"Z";156
"781";"Domžale";"2020";"M";160
"782";"Domžale";"2020";"Z";139
"783";"Dornava";"2010";"M";12
"784";"Dornava";"2010";"Z";13
"785";"Dornava";"2011";"M";11
"786";"Dornava";"2011";"Z";16
"787";"Dornava";"2012";"M";16
"788";"Dornava";"2012";"Z";17
"789";"Dornava";"2013";"M";20
"790";"Dornava";"2013";"Z";13
"791";"Dornava";"2014";"M";13
"792";"Dornava";"2014";"Z";12
"793";"Dornava";"2015";"M";14
"794";"Dornava";"2015";"Z";12
"795";"Dornava";"2016";"M";15
"796";"Dornava";"2016";"Z";13
"797";"Dornava";"2017";"M";12
"798";"Dornava";"2017";"Z";9
"799";"Dornava";"2018";"M";19
"800";"Dornava";"2018";"Z";15
"801";"Dornava";"2019";"M";15
"802";"Dornava";"2019";"Z";14
"803";"Dornava";"2020";"M";20
"804";"Dornava";"2020";"Z";12
"805";"Dravograd";"2010";"M";45
"806";"Dravograd";"2010";"Z";68
"807";"Dravograd";"2011";"M";60
"808";"Dravograd";"2011";"Z";51
"809";"Dravograd";"2012";"M";50
"810";"Dravograd";"2012";"Z";56
"811";"Dravograd";"2013";"M";61
"812";"Dravograd";"2013";"Z";64
"813";"Dravograd";"2014";"M";43
"814";"Dravograd";"2014";"Z";61
"815";"Dravograd";"2015";"M";58
"816";"Dravograd";"2015";"Z";55
"817";"Dravograd";"2016";"M";55
"818";"Dravograd";"2016";"Z";59
"819";"Dravograd";"2017";"M";51
"820";"Dravograd";"2017";"Z";69
"821";"Dravograd";"2018";"M";51
"822";"Dravograd";"2018";"Z";78
"823";"Dravograd";"2019";"M";59
"824";"Dravograd";"2019";"Z";60
"825";"Dravograd";"2020";"M";67
"826";"Dravograd";"2020";"Z";91
"827";"Duplek";"2010";"M";17
"828";"Duplek";"2010";"Z";17
"829";"Duplek";"2011";"M";31
"830";"Duplek";"2011";"Z";22
"831";"Duplek";"2012";"M";30
"832";"Duplek";"2012";"Z";24
"833";"Duplek";"2013";"M";33
"834";"Duplek";"2013";"Z";20
"835";"Duplek";"2014";"M";28
"836";"Duplek";"2014";"Z";17
"837";"Duplek";"2015";"M";24
"838";"Duplek";"2015";"Z";36
"839";"Duplek";"2016";"M";34
"840";"Duplek";"2016";"Z";34
"841";"Duplek";"2017";"M";37
"842";"Duplek";"2017";"Z";25
"843";"Duplek";"2018";"M";30
"844";"Duplek";"2018";"Z";29
"845";"Duplek";"2019";"M";30
"846";"Duplek";"2019";"Z";21
"847";"Duplek";"2020";"M";31
"848";"Duplek";"2020";"Z";22
"849";"Gorenja vas - Poljane";"2010";"M";30
"850";"Gorenja vas - Poljane";"2010";"Z";23
"851";"Gorenja vas - Poljane";"2011";"M";30
"852";"Gorenja vas - Poljane";"2011";"Z";19
"853";"Gorenja vas - Poljane";"2012";"M";22
"854";"Gorenja vas - Poljane";"2012";"Z";23
"855";"Gorenja vas - Poljane";"2013";"M";24
"856";"Gorenja vas - Poljane";"2013";"Z";27
"857";"Gorenja vas - Poljane";"2014";"M";27
"858";"Gorenja vas - Poljane";"2014";"Z";25
"859";"Gorenja vas - Poljane";"2015";"M";17
"860";"Gorenja vas - Poljane";"2015";"Z";17
"861";"Gorenja vas - Poljane";"2016";"M";19
"862";"Gorenja vas - Poljane";"2016";"Z";21
"863";"Gorenja vas - Poljane";"2017";"M";25
"864";"Gorenja vas - Poljane";"2017";"Z";28
"865";"Gorenja vas - Poljane";"2018";"M";17
"866";"Gorenja vas - Poljane";"2018";"Z";15
"867";"Gorenja vas - Poljane";"2019";"M";26
"868";"Gorenja vas - Poljane";"2019";"Z";26
"869";"Gorenja vas - Poljane";"2020";"M";24
"870";"Gorenja vas - Poljane";"2020";"Z";31
"871";"Gorišnica";"2010";"M";17
"872";"Gorišnica";"2010";"Z";32
"873";"Gorišnica";"2011";"M";26
"874";"Gorišnica";"2011";"Z";27
"875";"Gorišnica";"2012";"M";25
"876";"Gorišnica";"2012";"Z";34
"877";"Gorišnica";"2013";"M";29
"878";"Gorišnica";"2013";"Z";24
"879";"Gorišnica";"2014";"M";17
"880";"Gorišnica";"2014";"Z";27
"881";"Gorišnica";"2015";"M";22
"882";"Gorišnica";"2015";"Z";30
"883";"Gorišnica";"2016";"M";18
"884";"Gorišnica";"2016";"Z";29
"885";"Gorišnica";"2017";"M";25
"886";"Gorišnica";"2017";"Z";32
"887";"Gorišnica";"2018";"M";20
"888";"Gorišnica";"2018";"Z";30
"889";"Gorišnica";"2019";"M";17
"890";"Gorišnica";"2019";"Z";31
"891";"Gorišnica";"2020";"M";34
"892";"Gorišnica";"2020";"Z";28
"893";"Gorje";"2010";"M";14
"894";"Gorje";"2010";"Z";7
"895";"Gorje";"2011";"M";7
"896";"Gorje";"2011";"Z";15
"897";"Gorje";"2012";"M";12
"898";"Gorje";"2012";"Z";12
"899";"Gorje";"2013";"M";15
"900";"Gorje";"2013";"Z";10
"901";"Gorje";"2014";"M";9
"902";"Gorje";"2014";"Z";7
"903";"Gorje";"2015";"M";15
"904";"Gorje";"2015";"Z";11
"905";"Gorje";"2016";"M";21
"906";"Gorje";"2016";"Z";11
"907";"Gorje";"2017";"M";21
"908";"Gorje";"2017";"Z";12
"909";"Gorje";"2018";"M";7
"910";"Gorje";"2018";"Z";8
"911";"Gorje";"2019";"M";21
"912";"Gorje";"2019";"Z";13
"913";"Gorje";"2020";"M";18
"914";"Gorje";"2020";"Z";11
"915";"Gornja Radgona";"2010";"M";40
"916";"Gornja Radgona";"2010";"Z";44
"917";"Gornja Radgona";"2011";"M";47
"918";"Gornja Radgona";"2011";"Z";53
"919";"Gornja Radgona";"2012";"M";34
"920";"Gornja Radgona";"2012";"Z";57
"921";"Gornja Radgona";"2013";"M";46
"922";"Gornja Radgona";"2013";"Z";40
"923";"Gornja Radgona";"2014";"M";45
"924";"Gornja Radgona";"2014";"Z";43
"925";"Gornja Radgona";"2015";"M";48
"926";"Gornja Radgona";"2015";"Z";57
"927";"Gornja Radgona";"2016";"M";51
"928";"Gornja Radgona";"2016";"Z";44
"929";"Gornja Radgona";"2017";"M";52
"930";"Gornja Radgona";"2017";"Z";58
"931";"Gornja Radgona";"2018";"M";46
"932";"Gornja Radgona";"2018";"Z";52
"933";"Gornja Radgona";"2019";"M";54
"934";"Gornja Radgona";"2019";"Z";56
"935";"Gornja Radgona";"2020";"M";49
"936";"Gornja Radgona";"2020";"Z";64
"937";"Gornji Grad";"2010";"M";31
"938";"Gornji Grad";"2010";"Z";42
"939";"Gornji Grad";"2011";"M";18
"940";"Gornji Grad";"2011";"Z";52
"941";"Gornji Grad";"2012";"M";30
"942";"Gornji Grad";"2012";"Z";42
"943";"Gornji Grad";"2013";"M";23
"944";"Gornji Grad";"2013";"Z";39
"945";"Gornji Grad";"2014";"M";32
"946";"Gornji Grad";"2014";"Z";36
"947";"Gornji Grad";"2015";"M";34
"948";"Gornji Grad";"2015";"Z";45
"949";"Gornji Grad";"2016";"M";31
"950";"Gornji Grad";"2016";"Z";35
"951";"Gornji Grad";"2017";"M";38
"952";"Gornji Grad";"2017";"Z";43
"953";"Gornji Grad";"2018";"M";40
"954";"Gornji Grad";"2018";"Z";32
"955";"Gornji Grad";"2019";"M";25
"956";"Gornji Grad";"2019";"Z";48
"957";"Gornji Grad";"2020";"M";36
"958";"Gornji Grad";"2020";"Z";50
"959";"Gornji Petrovci";"2010";"M";11
"960";"Gornji Petrovci";"2010";"Z";19
"961";"Gornji Petrovci";"2011";"M";12
"962";"Gornji Petrovci";"2011";"Z";18
"963";"Gornji Petrovci";"2012";"M";6
"964";"Gornji Petrovci";"2012";"Z";15
"965";"Gornji Petrovci";"2013";"M";18
"966";"Gornji Petrovci";"2013";"Z";20
"967";"Gornji Petrovci";"2014";"M";13
"968";"Gornji Petrovci";"2014";"Z";19
"969";"Gornji Petrovci";"2015";"M";14
"970";"Gornji Petrovci";"2015";"Z";14
"971";"Gornji Petrovci";"2016";"M";12
"972";"Gornji Petrovci";"2016";"Z";15
"973";"Gornji Petrovci";"2017";"M";16
"974";"Gornji Petrovci";"2017";"Z";16
"975";"Gornji Petrovci";"2018";"M";15
"976";"Gornji Petrovci";"2018";"Z";12
"977";"Gornji Petrovci";"2019";"M";13
"978";"Gornji Petrovci";"2019";"Z";16
"979";"Gornji Petrovci";"2020";"M";12
"980";"Gornji Petrovci";"2020";"Z";15
"981";"Grad";"2010";"M";15
"982";"Grad";"2010";"Z";16
"983";"Grad";"2011";"M";14
"984";"Grad";"2011";"Z";16
"985";"Grad";"2012";"M";9
"986";"Grad";"2012";"Z";11
"987";"Grad";"2013";"M";17
"988";"Grad";"2013";"Z";8
"989";"Grad";"2014";"M";18
"990";"Grad";"2014";"Z";12
"991";"Grad";"2015";"M";11
"992";"Grad";"2015";"Z";11
"993";"Grad";"2016";"M";14
"994";"Grad";"2016";"Z";17
"995";"Grad";"2017";"M";13
"996";"Grad";"2017";"Z";7
"997";"Grad";"2018";"M";14
"998";"Grad";"2018";"Z";13
"999";"Grad";"2019";"M";19
"1000";"Grad";"2019";"Z";10
"1001";"Grad";"2020";"M";12
"1002";"Grad";"2020";"Z";17
"1003";"Grosuplje";"2010";"M";60
"1004";"Grosuplje";"2010";"Z";58
"1005";"Grosuplje";"2011";"M";72
"1006";"Grosuplje";"2011";"Z";75
"1007";"Grosuplje";"2012";"M";62
"1008";"Grosuplje";"2012";"Z";87
"1009";"Grosuplje";"2013";"M";70
"1010";"Grosuplje";"2013";"Z";68
"1011";"Grosuplje";"2014";"M";72
"1012";"Grosuplje";"2014";"Z";61
"1013";"Grosuplje";"2015";"M";79
"1014";"Grosuplje";"2015";"Z";70
"1015";"Grosuplje";"2016";"M";66
"1016";"Grosuplje";"2016";"Z";85
"1017";"Grosuplje";"2017";"M";69
"1018";"Grosuplje";"2017";"Z";69
"1019";"Grosuplje";"2018";"M";70
"1020";"Grosuplje";"2018";"Z";73
"1021";"Grosuplje";"2019";"M";64
"1022";"Grosuplje";"2019";"Z";85
"1023";"Grosuplje";"2020";"M";97
"1024";"Grosuplje";"2020";"Z";120
"1025";"Hajdina";"2010";"M";20
"1026";"Hajdina";"2010";"Z";17
"1027";"Hajdina";"2011";"M";13
"1028";"Hajdina";"2011";"Z";11
"1029";"Hajdina";"2012";"M";6
"1030";"Hajdina";"2012";"Z";13
"1031";"Hajdina";"2013";"M";16
"1032";"Hajdina";"2013";"Z";16
"1033";"Hajdina";"2014";"M";17
"1034";"Hajdina";"2014";"Z";14
"1035";"Hajdina";"2015";"M";15
"1036";"Hajdina";"2015";"Z";15
"1037";"Hajdina";"2016";"M";13
"1038";"Hajdina";"2016";"Z";10
"1039";"Hajdina";"2017";"M";16
"1040";"Hajdina";"2017";"Z";6
"1041";"Hajdina";"2018";"M";15
"1042";"Hajdina";"2018";"Z";18
"1043";"Hajdina";"2019";"M";18
"1044";"Hajdina";"2019";"Z";10
"1045";"Hajdina";"2020";"M";18
"1046";"Hajdina";"2020";"Z";15
"1047";"Hoče - Slivnica";"2010";"M";51
"1048";"Hoče - Slivnica";"2010";"Z";37
"1049";"Hoče - Slivnica";"2011";"M";58
"1050";"Hoče - Slivnica";"2011";"Z";27
"1051";"Hoče - Slivnica";"2012";"M";34
"1052";"Hoče - Slivnica";"2012";"Z";39
"1053";"Hoče - Slivnica";"2013";"M";48
"1054";"Hoče - Slivnica";"2013";"Z";45
"1055";"Hoče - Slivnica";"2014";"M";38
"1056";"Hoče - Slivnica";"2014";"Z";35
"1057";"Hoče - Slivnica";"2015";"M";52
"1058";"Hoče - Slivnica";"2015";"Z";47
"1059";"Hoče - Slivnica";"2016";"M";46
"1060";"Hoče - Slivnica";"2016";"Z";36
"1061";"Hoče - Slivnica";"2017";"M";46
"1062";"Hoče - Slivnica";"2017";"Z";44
"1063";"Hoče - Slivnica";"2018";"M";46
"1064";"Hoče - Slivnica";"2018";"Z";44
"1065";"Hoče - Slivnica";"2019";"M";52
"1066";"Hoče - Slivnica";"2019";"Z";45
"1067";"Hoče - Slivnica";"2020";"M";65
"1068";"Hoče - Slivnica";"2020";"Z";53
"1069";"Hodoš";"2010";"M";3
"1070";"Hodoš";"2010";"Z";2
"1071";"Hodoš";"2011";"M";3
"1072";"Hodoš";"2011";"Z";1
"1073";"Hodoš";"2012";"M";1
"1074";"Hodoš";"2012";"Z";3
"1075";"Hodoš";"2013";"M";3
"1076";"Hodoš";"2013";"Z";5
"1077";"Hodoš";"2014";"M";2
"1078";"Hodoš";"2014";"Z";3
"1079";"Hodoš";"2015";"M";4
"1080";"Hodoš";"2015";"Z";4
"1081";"Hodoš";"2016";"M";3
"1082";"Hodoš";"2016";"Z";4
"1083";"Hodoš";"2017";"M";5
"1084";"Hodoš";"2017";"Z";6
"1085";"Hodoš";"2018";"M";7
"1086";"Hodoš";"2018";"Z";6
"1087";"Hodoš";"2019";"M";4
"1088";"Hodoš";"2019";"Z";2
"1089";"Hodoš";"2020";"M";5
"1090";"Hodoš";"2020";"Z";4
"1091";"Horjul";"2010";"M";15
"1092";"Horjul";"2010";"Z";12
"1093";"Horjul";"2011";"M";14
"1094";"Horjul";"2011";"Z";20
"1095";"Horjul";"2012";"M";11
"1096";"Horjul";"2012";"Z";23
"1097";"Horjul";"2013";"M";27
"1098";"Horjul";"2013";"Z";32
"1099";"Horjul";"2014";"M";18
"1100";"Horjul";"2014";"Z";37
"1101";"Horjul";"2015";"M";20
"1102";"Horjul";"2015";"Z";27
"1103";"Horjul";"2016";"M";27
"1104";"Horjul";"2016";"Z";25
"1105";"Horjul";"2017";"M";21
"1106";"Horjul";"2017";"Z";31
"1107";"Horjul";"2018";"M";26
"1108";"Horjul";"2018";"Z";42
"1109";"Horjul";"2019";"M";32
"1110";"Horjul";"2019";"Z";29
"1111";"Horjul";"2020";"M";41
"1112";"Horjul";"2020";"Z";43
"1113";"Hrastnik";"2010";"M";61
"1114";"Hrastnik";"2010";"Z";51
"1115";"Hrastnik";"2011";"M";59
"1116";"Hrastnik";"2011";"Z";64
"1117";"Hrastnik";"2012";"M";42
"1118";"Hrastnik";"2012";"Z";60
"1119";"Hrastnik";"2013";"M";63
"1120";"Hrastnik";"2013";"Z";63
"1121";"Hrastnik";"2014";"M";58
"1122";"Hrastnik";"2014";"Z";58
"1123";"Hrastnik";"2015";"M";55
"1124";"Hrastnik";"2015";"Z";70
"1125";"Hrastnik";"2016";"M";58
"1126";"Hrastnik";"2016";"Z";64
"1127";"Hrastnik";"2017";"M";49
"1128";"Hrastnik";"2017";"Z";76
"1129";"Hrastnik";"2018";"M";64
"1130";"Hrastnik";"2018";"Z";64
"1131";"Hrastnik";"2019";"M";55
"1132";"Hrastnik";"2019";"Z";54
"1133";"Hrastnik";"2020";"M";54
"1134";"Hrastnik";"2020";"Z";64
"1135";"Hrpelje - Kozina";"2010";"M";25
"1136";"Hrpelje - Kozina";"2010";"Z";23
"1137";"Hrpelje - Kozina";"2011";"M";20
"1138";"Hrpelje - Kozina";"2011";"Z";15
"1139";"Hrpelje - Kozina";"2012";"M";15
"1140";"Hrpelje - Kozina";"2012";"Z";23
"1141";"Hrpelje - Kozina";"2013";"M";24
"1142";"Hrpelje - Kozina";"2013";"Z";22
"1143";"Hrpelje - Kozina";"2014";"M";21
"1144";"Hrpelje - Kozina";"2014";"Z";12
"1145";"Hrpelje - Kozina";"2015";"M";17
"1146";"Hrpelje - Kozina";"2015";"Z";17
"1147";"Hrpelje - Kozina";"2016";"M";25
"1148";"Hrpelje - Kozina";"2016";"Z";11
"1149";"Hrpelje - Kozina";"2017";"M";18
"1150";"Hrpelje - Kozina";"2017";"Z";15
"1151";"Hrpelje - Kozina";"2018";"M";18
"1152";"Hrpelje - Kozina";"2018";"Z";17
"1153";"Hrpelje - Kozina";"2019";"M";25
"1154";"Hrpelje - Kozina";"2019";"Z";14
"1155";"Hrpelje - Kozina";"2020";"M";18
"1156";"Hrpelje - Kozina";"2020";"Z";22
"1157";"Idrija";"2010";"M";68
"1158";"Idrija";"2010";"Z";82
"1159";"Idrija";"2011";"M";67
"1160";"Idrija";"2011";"Z";74
"1161";"Idrija";"2012";"M";70
"1162";"Idrija";"2012";"Z";90
"1163";"Idrija";"2013";"M";72
"1164";"Idrija";"2013";"Z";79
"1165";"Idrija";"2014";"M";70
"1166";"Idrija";"2014";"Z";81
"1167";"Idrija";"2015";"M";59
"1168";"Idrija";"2015";"Z";84
"1169";"Idrija";"2016";"M";62
"1170";"Idrija";"2016";"Z";95
"1171";"Idrija";"2017";"M";80
"1172";"Idrija";"2017";"Z";74
"1173";"Idrija";"2018";"M";56
"1174";"Idrija";"2018";"Z";81
"1175";"Idrija";"2019";"M";56
"1176";"Idrija";"2019";"Z";90
"1177";"Idrija";"2020";"M";85
"1178";"Idrija";"2020";"Z";72
"1179";"Ig";"2010";"M";16
"1180";"Ig";"2010";"Z";22
"1181";"Ig";"2011";"M";23
"1182";"Ig";"2011";"Z";18
"1183";"Ig";"2012";"M";23
"1184";"Ig";"2012";"Z";14
"1185";"Ig";"2013";"M";23
"1186";"Ig";"2013";"Z";21
"1187";"Ig";"2014";"M";21
"1188";"Ig";"2014";"Z";15
"1189";"Ig";"2015";"M";24
"1190";"Ig";"2015";"Z";16
"1191";"Ig";"2016";"M";33
"1192";"Ig";"2016";"Z";20
"1193";"Ig";"2017";"M";25
"1194";"Ig";"2017";"Z";20
"1195";"Ig";"2018";"M";35
"1196";"Ig";"2018";"Z";30
"1197";"Ig";"2019";"M";28
"1198";"Ig";"2019";"Z";19
"1199";"Ig";"2020";"M";33
"1200";"Ig";"2020";"Z";21
"1201";"Ilirska Bistrica";"2010";"M";89
"1202";"Ilirska Bistrica";"2010";"Z";79
"1203";"Ilirska Bistrica";"2011";"M";67
"1204";"Ilirska Bistrica";"2011";"Z";90
"1205";"Ilirska Bistrica";"2012";"M";77
"1206";"Ilirska Bistrica";"2012";"Z";90
"1207";"Ilirska Bistrica";"2013";"M";84
"1208";"Ilirska Bistrica";"2013";"Z";87
"1209";"Ilirska Bistrica";"2014";"M";86
"1210";"Ilirska Bistrica";"2014";"Z";94
"1211";"Ilirska Bistrica";"2015";"M";93
"1212";"Ilirska Bistrica";"2015";"Z";87
"1213";"Ilirska Bistrica";"2016";"M";92
"1214";"Ilirska Bistrica";"2016";"Z";91
"1215";"Ilirska Bistrica";"2017";"M";92
"1216";"Ilirska Bistrica";"2017";"Z";91
"1217";"Ilirska Bistrica";"2018";"M";64
"1218";"Ilirska Bistrica";"2018";"Z";90
"1219";"Ilirska Bistrica";"2019";"M";91
"1220";"Ilirska Bistrica";"2019";"Z";97
"1221";"Ilirska Bistrica";"2020";"M";80
"1222";"Ilirska Bistrica";"2020";"Z";103
"1223";"Ivančna Gorica";"2010";"M";47
"1224";"Ivančna Gorica";"2010";"Z";50
"1225";"Ivančna Gorica";"2011";"M";64
"1226";"Ivančna Gorica";"2011";"Z";48
"1227";"Ivančna Gorica";"2012";"M";66
"1228";"Ivančna Gorica";"2012";"Z";59
"1229";"Ivančna Gorica";"2013";"M";58
"1230";"Ivančna Gorica";"2013";"Z";52
"1231";"Ivančna Gorica";"2014";"M";57
"1232";"Ivančna Gorica";"2014";"Z";63
"1233";"Ivančna Gorica";"2015";"M";82
"1234";"Ivančna Gorica";"2015";"Z";47
"1235";"Ivančna Gorica";"2016";"M";52
"1236";"Ivančna Gorica";"2016";"Z";43
"1237";"Ivančna Gorica";"2017";"M";52
"1238";"Ivančna Gorica";"2017";"Z";61
"1239";"Ivančna Gorica";"2018";"M";70
"1240";"Ivančna Gorica";"2018";"Z";63
"1241";"Ivančna Gorica";"2019";"M";70
"1242";"Ivančna Gorica";"2019";"Z";45
"1243";"Ivančna Gorica";"2020";"M";60
"1244";"Ivančna Gorica";"2020";"Z";40
"1245";"Izola";"2010";"M";77
"1246";"Izola";"2010";"Z";67
"1247";"Izola";"2011";"M";77
"1248";"Izola";"2011";"Z";73
"1249";"Izola";"2012";"M";99
"1250";"Izola";"2012";"Z";98
"1251";"Izola";"2013";"M";85
"1252";"Izola";"2013";"Z";66
"1253";"Izola";"2014";"M";82
"1254";"Izola";"2014";"Z";71
"1255";"Izola";"2015";"M";96
"1256";"Izola";"2015";"Z";76
"1257";"Izola";"2016";"M";93
"1258";"Izola";"2016";"Z";83
"1259";"Izola";"2017";"M";105
"1260";"Izola";"2017";"Z";87
"1261";"Izola";"2018";"M";89
"1262";"Izola";"2018";"Z";89
"1263";"Izola";"2019";"M";71
"1264";"Izola";"2019";"Z";95
"1265";"Izola";"2020";"M";82
"1266";"Izola";"2020";"Z";86
"1267";"Jesenice";"2010";"M";113
"1268";"Jesenice";"2010";"Z";112
"1269";"Jesenice";"2011";"M";114
"1270";"Jesenice";"2011";"Z";91
"1271";"Jesenice";"2012";"M";99
"1272";"Jesenice";"2012";"Z";98
"1273";"Jesenice";"2013";"M";124
"1274";"Jesenice";"2013";"Z";103
"1275";"Jesenice";"2014";"M";102
"1276";"Jesenice";"2014";"Z";103
"1277";"Jesenice";"2015";"M";102
"1278";"Jesenice";"2015";"Z";110
"1279";"Jesenice";"2016";"M";108
"1280";"Jesenice";"2016";"Z";105
"1281";"Jesenice";"2017";"M";102
"1282";"Jesenice";"2017";"Z";113
"1283";"Jesenice";"2018";"M";94
"1284";"Jesenice";"2018";"Z";125
"1285";"Jesenice";"2019";"M";115
"1286";"Jesenice";"2019";"Z";100
"1287";"Jesenice";"2020";"M";148
"1288";"Jesenice";"2020";"Z";138
"1289";"Jezersko";"2010";"M";2
"1290";"Jezersko";"2010";"Z";7
"1291";"Jezersko";"2011";"M";8
"1292";"Jezersko";"2011";"Z";5
"1293";"Jezersko";"2012";"M";2
"1294";"Jezersko";"2012";"Z";4
"1295";"Jezersko";"2013";"M";3
"1296";"Jezersko";"2013";"Z";2
"1297";"Jezersko";"2014";"M";4
"1298";"Jezersko";"2014";"Z";3
"1299";"Jezersko";"2015";"M";7
"1300";"Jezersko";"2015";"Z";3
"1301";"Jezersko";"2016";"M";3
"1302";"Jezersko";"2016";"Z";3
"1303";"Jezersko";"2017";"M";1
"1304";"Jezersko";"2017";"Z";8
"1305";"Jezersko";"2018";"M";3
"1306";"Jezersko";"2018";"Z";2
"1307";"Jezersko";"2019";"M";2
"1308";"Jezersko";"2019";"Z";2
"1309";"Jezersko";"2020";"M";0
"1310";"Jezersko";"2020";"Z";1
"1311";"Juršinci";"2010";"M";10
"1312";"Juršinci";"2010";"Z";13
"1313";"Juršinci";"2011";"M";12
"1314";"Juršinci";"2011";"Z";8
"1315";"Juršinci";"2012";"M";7
"1316";"Juršinci";"2012";"Z";18
"1317";"Juršinci";"2013";"M";18
"1318";"Juršinci";"2013";"Z";18
"1319";"Juršinci";"2014";"M";18
"1320";"Juršinci";"2014";"Z";8
"1321";"Juršinci";"2015";"M";16
"1322";"Juršinci";"2015";"Z";12
"1323";"Juršinci";"2016";"M";15
"1324";"Juršinci";"2016";"Z";13
"1325";"Juršinci";"2017";"M";12
"1326";"Juršinci";"2017";"Z";16
"1327";"Juršinci";"2018";"M";17
"1328";"Juršinci";"2018";"Z";15
"1329";"Juršinci";"2019";"M";21
"1330";"Juršinci";"2019";"Z";15
"1331";"Juršinci";"2020";"M";21
"1332";"Juršinci";"2020";"Z";19
"1333";"Kamnik";"2010";"M";113
"1334";"Kamnik";"2010";"Z";119
"1335";"Kamnik";"2011";"M";111
