"SPOL","STATISTIÈNA REGIJA","2010 Vzrok smrti Neoplazme (C00-D48)","2010 Vzrok smrti Bolezni obtoèil (I00-I99)","2010 Vzrok smrti Bolezni dihal (J00-J99)","2010 Vzrok smrti Bolezni prebavil (K00-K93)","2010 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2010 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2010 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2010 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2010 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2010 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2011 Vzrok smrti Neoplazme (C00-D48)","2011 Vzrok smrti Bolezni obtoèil (I00-I99)","2011 Vzrok smrti Bolezni dihal (J00-J99)","2011 Vzrok smrti Bolezni prebavil (K00-K93)","2011 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2011 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2011 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2011 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2011 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2011 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2012 Vzrok smrti Neoplazme (C00-D48)","2012 Vzrok smrti Bolezni obtoèil (I00-I99)","2012 Vzrok smrti Bolezni dihal (J00-J99)","2012 Vzrok smrti Bolezni prebavil (K00-K93)","2012 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2012 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2012 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2012 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2012 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2012 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2013 Vzrok smrti Neoplazme (C00-D48)","2013 Vzrok smrti Bolezni obtoèil (I00-I99)","2013 Vzrok smrti Bolezni dihal (J00-J99)","2013 Vzrok smrti Bolezni prebavil (K00-K93)","2013 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2013 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2013 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2013 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2013 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2013 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2014 Vzrok smrti Neoplazme (C00-D48)","2014 Vzrok smrti Bolezni obtoèil (I00-I99)","2014 Vzrok smrti Bolezni dihal (J00-J99)","2014 Vzrok smrti Bolezni prebavil (K00-K93)","2014 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2014 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2014 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2014 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2014 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2014 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2015 Vzrok smrti Neoplazme (C00-D48)","2015 Vzrok smrti Bolezni obtoèil (I00-I99)","2015 Vzrok smrti Bolezni dihal (J00-J99)","2015 Vzrok smrti Bolezni prebavil (K00-K93)","2015 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2015 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2015 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2015 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2015 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2015 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2016 Vzrok smrti Neoplazme (C00-D48)","2016 Vzrok smrti Bolezni obtoèil (I00-I99)","2016 Vzrok smrti Bolezni dihal (J00-J99)","2016 Vzrok smrti Bolezni prebavil (K00-K93)","2016 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2016 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2016 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2016 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2016 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2016 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2017 Vzrok smrti Neoplazme (C00-D48)","2017 Vzrok smrti Bolezni obtoèil (I00-I99)","2017 Vzrok smrti Bolezni dihal (J00-J99)","2017 Vzrok smrti Bolezni prebavil (K00-K93)","2017 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2017 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2017 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2017 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2017 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2017 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2018 Vzrok smrti Neoplazme (C00-D48)","2018 Vzrok smrti Bolezni obtoèil (I00-I99)","2018 Vzrok smrti Bolezni dihal (J00-J99)","2018 Vzrok smrti Bolezni prebavil (K00-K93)","2018 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2018 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2018 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2018 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2018 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2018 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2019 Vzrok smrti Neoplazme (C00-D48)","2019 Vzrok smrti Bolezni obtoèil (I00-I99)","2019 Vzrok smrti Bolezni dihal (J00-J99)","2019 Vzrok smrti Bolezni prebavil (K00-K93)","2019 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2019 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2019 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2019 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2019 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2019 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2020 Vzrok smrti Neoplazme (C00-D48)","2020 Vzrok smrti Bolezni obtoèil (I00-I99)","2020 Vzrok smrti Bolezni dihal (J00-J99)","2020 Vzrok smrti Bolezni prebavil (K00-K93)","2020 Vzrok smrti Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)","2020 Vzrok smrti na 1000 prebivalcev Neoplazme (C00-D48)","2020 Vzrok smrti na 1000 prebivalcev Bolezni obtoèil (I00-I99)","2020 Vzrok smrti na 1000 prebivalcev Bolezni dihal (J00-J99)","2020 Vzrok smrti na 1000 prebivalcev Bolezni prebavil (K00-K93)","2020 Vzrok smrti na 1000 prebivalcev Poškodbe, zastrupitve in nekatere druge posledice zunanjih vzrokov (S00-T98)"
"Moški","SLOVENIJA",3255,3090,564,666,903,3.2,3.0,0.6,0.7,0.9,3276,2997,605,622,882,3.2,3.0,0.6,0.6,0.9,3273,3008,673,687,852,3.2,3.0,0.7,0.7,0.8,3394,3056,631,629,867,3.3,3.0,0.6,0.6,0.9,3301,3071,576,548,753,3.2,3.0,0.6,0.5,0.7,3489,3184,631,480,846,3.4,3.1,0.6,0.5,0.8,3509,3135,604,478,845,3.4,3.1,0.6,0.5,0.8,3555,3302,628,508,861,3.5,3.2,0.6,0.5,0.8,3610,3298,532,490,791,3.5,3.2,0.5,0.5,0.8,3557,3166,501,467,781,3.4,3.0,0.5,0.4,0.7,3623,3141,452,500,833,3.4,3.0,0.4,0.5,0.8
"Moški","Pomurska",195,226,33,56,56,3.4,3.9,0.6,1.0,1.0,220,261,48,55,36,3.8,4.5,0.8,0.9,0.6,201,217,45,53,46,3.5,3.7,0.8,0.9,0.8,204,217,56,59,50,3.5,3.8,1.0,1.0,0.9,213,252,63,53,40,3.7,4.4,1.1,0.9,0.7,232,243,39,31,36,4.1,4.2,0.7,0.5,0.6,223,230,35,40,46,3.9,4.0,0.6,0.7,0.8,216,252,32,41,43,3.8,4.4,0.6,0.7,0.8,218,233,44,44,48,3.9,4.1,0.8,0.8,0.8,245,236,26,40,32,4.3,4.2,0.5,0.7,0.6,203,254,21,35,49,3.6,4.5,0.4,0.6,0.9
"Moški","Podravska",520,522,73,145,158,3.3,3.3,0.5,0.9,1.0,567,514,109,142,184,3.6,3.2,0.7,0.9,1.2,499,516,101,150,139,3.1,3.2,0.6,0.9,0.9,588,517,116,125,153,3.7,3.2,0.7,0.8,1.0,538,530,84,107,126,3.4,3.3,0.5,0.7,0.8,578,572,105,88,130,3.6,3.6,0.7,0.5,0.8,564,558,119,91,133,3.5,3.5,0.7,0.6,0.8,603,602,118,104,146,3.8,3.8,0.7,0.7,0.9,589,621,104,91,126,3.7,3.9,0.6,0.6,0.8,570,585,111,78,124,3.5,3.6,0.7,0.5,0.8,607,551,86,99,143,3.7,3.3,0.5,0.6,0.9
"Moški","Koroška",134,102,24,17,38,3.7,2.8,0.7,0.5,1.0,138,134,31,25,33,3.8,3.7,0.9,0.7,0.9,121,111,20,29,26,3.3,3.1,0.6,0.8,0.7,116,118,30,23,38,3.2,3.3,0.8,0.6,1.1,113,107,29,18,24,3.2,3.0,0.8,0.5,0.7,122,124,25,23,36,3.4,3.5,0.7,0.6,1.0,153,112,28,19,39,4.3,3.1,0.8,0.5,1.1,125,107,25,14,29,3.5,3.0,0.7,0.4,0.8,114,102,22,19,28,3.2,2.9,0.6,0.5,0.8,167,119,18,14,30,4.7,3.3,0.5,0.4,0.8,110,118,17,22,34,3.1,3.3,0.5,0.6,0.9
"Moški","Savinjska",418,393,89,104,134,3.2,3.0,0.7,0.8,1.0,376,348,87,87,102,2.9,2.7,0.7,0.7,0.8,425,385,127,114,117,3.3,3.0,1.0,0.9,0.9,392,390,95,80,123,3.0,3.0,0.7,0.6,0.9,383,375,93,78,102,2.9,2.9,0.7,0.6,0.8,453,385,108,75,118,3.6,3.0,0.8,0.6,0.9,401,400,96,71,121,3.1,3.1,0.8,0.6,0.9,444,427,92,84,128,3.5,3.3,0.7,0.7,1.0,438,417,80,65,103,3.4,3.2,0.6,0.5,0.8,427,408,72,55,108,3.3,3.1,0.6,0.4,0.8,455,401,82,71,102,3.5,3.1,0.6,0.5,0.8
"Moški","Zasavska",83,81,18,12,19,3.8,3.7,0.8,0.6,0.9,89,73,17,21,19,4.1,3.4,0.8,1.0,0.9,100,59,18,14,20,4.7,2.8,0.8,0.7,0.9,107,75,19,19,13,5.0,3.5,0.9,0.9,0.6,100,73,16,17,27,4.8,3.5,0.8,0.8,1.3,112,84,11,22,29,4.0,3.0,0.4,0.8,1.0,124,89,18,9,25,4.4,3.1,0.6,0.3,0.9,120,93,10,8,34,4.2,3.3,0.4,0.3,1.2,119,81,20,14,29,4.2,2.9,0.7,0.5,1.0,100,106,28,13,21,3.5,3.7,1.0,0.5,0.7,117,100,17,21,25,4.1,3.5,0.6,0.7,0.9
"Moški","Posavska",121,162,27,27,39,3.4,4.6,0.8,0.8,1.1,104,119,16,32,33,3.0,3.4,0.5,0.9,0.9,130,136,19,36,32,3.7,3.9,0.5,1.0,0.9,128,137,13,34,38,3.6,3.9,0.4,1.0,1.1,111,147,17,20,36,3.1,4.2,0.5,0.6,1.0,107,149,20,29,37,2.8,3.9,0.5,0.8,1.0,150,157,27,32,37,3.9,4.1,0.7,0.8,1.0,137,130,24,24,33,3.6,3.4,0.6,0.6,0.9,136,143,17,25,34,3.6,3.8,0.4,0.7,0.9,148,132,14,20,24,3.8,3.4,0.4,0.5,0.6,126,124,14,26,39,3.3,3.2,0.4,0.7,1.0
"Moški","Jugovzhodna Slovenija",233,212,34,53,64,3.2,3.0,0.5,0.7,0.9,237,195,45,49,68,3.3,2.7,0.6,0.7,0.9,217,229,49,63,68,3.0,3.2,0.7,0.9,0.9,235,203,37,70,59,3.3,2.8,0.5,1.0,0.8,260,198,34,51,51,3.6,2.8,0.5,0.7,0.7,242,228,46,39,55,3.4,3.2,0.6,0.5,0.8,224,220,32,47,50,3.1,3.1,0.4,0.7,0.7,263,217,46,41,68,3.7,3.0,0.6,0.6,0.9,269,237,34,44,59,3.7,3.3,0.5,0.6,0.8,250,228,24,47,60,3.4,3.1,0.3,0.6,0.8,271,200,33,36,66,3.6,2.7,0.4,0.5,0.9
"Moški","Osrednjeslovenska",760,631,113,111,216,2.9,2.4,0.4,0.4,0.8,761,650,111,97,202,2.9,2.5,0.4,0.4,0.8,750,638,125,114,200,2.9,2.4,0.5,0.4,0.8,793,655,115,98,181,3.0,2.5,0.4,0.4,0.7,766,685,109,88,146,2.9,2.6,0.4,0.3,0.5,794,653,106,94,193,3.0,2.5,0.4,0.4,0.7,779,623,117,64,186,3.0,2.4,0.4,0.2,0.7,831,672,110,83,195,3.1,2.5,0.4,0.3,0.7,817,704,90,95,165,3.1,2.6,0.3,0.4,0.6,770,657,95,116,183,2.8,2.4,0.3,0.4,0.7,851,683,74,85,176,3.1,2.5,0.3,0.3,0.6
"Moški","Gorenjska",327,303,51,52,83,3.3,3.0,0.5,0.5,0.8,322,270,47,46,89,3.2,2.7,0.5,0.5,0.9,303,274,65,47,78,3.0,2.7,0.6,0.5,0.8,328,268,50,46,86,3.3,2.7,0.5,0.5,0.9,336,265,42,49,87,3.3,2.6,0.4,0.5,0.9,335,279,52,35,84,3.3,2.8,0.5,0.3,0.8,353,282,42,45,76,3.5,2.8,0.4,0.4,0.8,358,294,60,45,77,3.5,2.9,0.6,0.4,0.8,355,283,52,27,82,3.5,2.8,0.5,0.3,0.8,348,262,41,32,74,3.4,2.5,0.4,0.3,0.7,384,264,47,42,83,3.7,2.5,0.5,0.4,0.8
"Moški","Primorsko-notranjska",80,95,25,14,19,3.0,3.6,0.9,0.5,0.7,68,70,17,9,32,2.6,2.6,0.6,0.3,1.2,91,78,19,10,37,3.4,3.0,0.7,0.4,1.4,85,101,19,11,26,3.2,3.8,0.7,0.4,1.0,81,94,21,9,25,3.1,3.5,0.8,0.3,0.9,104,100,19,7,20,3.9,3.8,0.7,0.3,0.8,106,86,24,9,23,4.0,3.2,0.9,0.3,0.9,85,97,20,12,14,3.2,3.7,0.8,0.5,0.5,101,103,14,5,20,3.8,3.9,0.5,0.2,0.8,95,88,18,9,23,3.5,3.3,0.7,0.3,0.9,97,91,9,14,25,3.6,3.3,0.3,0.5,0.9
"Moški","Goriška",177,201,42,30,47,3.0,3.4,0.7,0.5,0.8,197,206,35,30,42,3.3,3.5,0.6,0.5,0.7,260,222,42,28,54,4.4,3.7,0.7,0.5,0.9,211,212,51,36,55,3.6,3.6,0.9,0.6,0.9,213,196,38,35,57,3.6,3.3,0.6,0.6,1.0,215,185,41,16,63,3.6,3.1,0.7,0.3,1.1,228,193,33,27,62,3.9,3.3,0.6,0.5,1.1,218,224,44,28,56,3.7,3.8,0.7,0.5,1.0,226,215,27,34,55,3.8,3.7,0.5,0.6,0.9,228,190,26,21,57,3.8,3.2,0.4,0.4,1.0,203,179,25,24,55,3.4,3.0,0.4,0.4,0.9
