"";"drzava";"leto";"umrli";"vrednost.bdp"
"130";"DEU";2019;"9.2";"56284.936441"
"131";"DNK";2010;"9.8";"43041.192361"
"132";"DNK";2011;"10.2";"44407.94207"
"133";"DNK";2012;"11.3";"44808.549212"
"134";"DNK";2013;"10.3";"46742.939663"
"135";"DNK";2014;"10.6";"47905.477079"
"136";"DNK";2015;"9.4";"49058.142344"
"137";"DNK";2016;"9.6";"51967.020438"
"138";"DNK";2017;"9.5";"55356.49009"
"139";"DNK";2018;"9.4";"57453.005832"
"140";"DNK";2019;"ni.podatka";"59870.025325"
"141";"ESP";2010;"6.3";"31716.709735"
"142";"ESP";2011;"6.3";"31872.363088"
"143";"ESP";2012;"6.9";"31724.631513"
"144";"ESP";2013;"7.5";"32452.659676"
"145";"ESP";2014;"7.6";"33544.352014"
"146";"ESP";2015;"6.9";"34929.20969"
"147";"ESP";2016;"6.8";"37313.634913"
"148";"ESP";2017;"7";"39580.188366"
"149";"ESP";2018;"ni.podatka";"40747.03298"
"150";"ESP";2019;"ni.podatka";"42197.335356"
"151";"EST";2010;"15.9";"21606.362944"
"152";"EST";2011;"15.3";"24515.48857"
"153";"EST";2012;"16.6";"25946.944889"
"154";"EST";2013;"15.3";"27418.689637"
"155";"EST";2014;"17.5";"28917.833656"
"156";"EST";2015;"14.1";"29222.748082"
"157";"EST";2016;"13";"31310.152103"
"158";"EST";2017;"16.1";"33867.803542"
"159";"EST";2018;"13.6";"36236.794279"
"160";"EST";2019;"13.8";"38354.573733"
"161";"FIN";2010;"17.3";"38985.871994"
"162";"FIN";2011;"16.4";"40916.647325"
"163";"FIN";2012;"15.6";"40872.854802"
"164";"FIN";2013;"15.8";"41492.918416"
"165";"FIN";2014;"14.1";"41749.864733"
"166";"FIN";2015;"ni.podatka";"42490.211049"
"167";"FIN";2016;"13.9";"44934.488245"
"168";"FIN";2017;"14.6";"47570.270354"
"169";"FIN";2018;"14.2";"49700.52107"
"170";"FIN";2019;"ni.podatka";"51521.398254"
"171";"FRA";2010;"15.9";"35939.455835"
"172";"FRA";2011;"15.8";"37447.949543"
"173";"FRA";2012;"14.6";"37684.198067"
"174";"FRA";2013;"14.3";"39528.473644"
"175";"FRA";2014;"13.1";"40144.059485"
"176";"FRA";2015;"13.1";"40829.893311"
"177";"FRA";2016;"12.3";"42855.944562"
"178";"FRA";2017;"ni.podatka";"44445.59677"
"179";"FRA";2018;"ni.podatka";"46419.314271"
"180";"FRA";2019;"ni.podatka";"49344.708712"
"181";"GBR";2010;"6.7";"36608.229794"
"182";"GBR";2011;"6.9";"37363.819988"
"183";"GBR";2012;"6.9";"38511.142147"
"184";"GBR";2013;"7.5";"40232.722312"
"185";"GBR";2014;"7.4";"41584.042063"
"186";"GBR";2015;"7.5";"42916.969653"
"187";"GBR";2016;"7.3";"44610.565649"
"188";"GBR";2017;"ni.podatka";"46385.63354"
"189";"GBR";2018;"ni.podatka";"47880.772251"
"190";"GBR";2019;"ni.podatka";"49362.791164"
"191";"GRC";2010;"3.1";"27934.317127"
"192";"GRC";2011;"3.9";"25671.291223"
"193";"GRC";2012;"4.2";"24911.062614"
"194";"GRC";2013;"4.5";"25986.57671"
"195";"GRC";2014;"4.7";"26625.188631"
"196";"GRC";2015;"4.4";"26760.152201"
"197";"GRC";2016;"4";"27511.777671"
"198";"GRC";2017;"4.4";"28604.794575"
"199";"GRC";2018;"4.7";"29652.89144"
"200";"GRC";2019;"ni.podatka";"30841.801741"
"201";"HRV";2010;"ni.podatka";"19978.123622"
"202";"HRV";2011;"ni.podatka";"21003.360644"
"203";"HRV";2012;"ni.podatka";"21389.987731"
"204";"HRV";2013;"ni.podatka";"22087.486157"
"205";"HRV";2014;"ni.podatka";"22337.402078"
"206";"HRV";2015;"ni.podatka";"23276.918842"
"207";"HRV";2016;"ni.podatka";"25222.481625"
"208";"HRV";2017;"ni.podatka";"27119.090311"
"209";"HRV";2018;"ni.podatka";"28938.914771"
"210";"HRV";2019;"ni.podatka";"30974.823593"
"211";"HUN";2010;"23.4";"21768.44459"
"212";"HUN";2011;"22.8";"23038.80802"
"213";"HUN";2012;"22";"23275.231857"
"214";"HUN";2013;"19.4";"24556.715269"
"215";"HUN";2014;"17.8";"25699.750577"
"216";"HUN";2015;"17.3";"26806.595306"
"217";"HUN";2016;"16.2";"27947.637585"
"218";"HUN";2017;"15.1";"29501.120486"
"219";"HUN";2018;"15.2";"31862.882417"
"220";"HUN";2019;"14.2";"33961.565566"
"221";"IRL";2010;"10.8";"43239.794656"
"222";"IRL";2011;"12.2";"45095.404017"
"223";"IRL";2012;"12.1";"46382.57421"
"224";"IRL";2013;"10.9";"47869.673503"
"225";"IRL";2014;"10.7";"51156.247715"
"226";"IRL";2015;"9.3";"69119.703929"
"227";"IRL";2016;"ni.podatka";"71594.095685"
"228";"IRL";2017;"ni.podatka";"77832.00899"
"229";"IRL";2018;"ni.podatka";"84781.721928"
"230";"IRL";2019;"ni.podatka";"89680.969173"
"231";"ISL";2010;"14.8";"39810.803416"
"232";"ISL";2011;"8.7";"40938.664549"
"233";"ISL";2012;"11.6";"42006.543346"
"234";"ISL";2013;"16";"44404.731588"
"235";"ISL";2014;"13.8";"45995.001692"
"236";"ISL";2015;"12.3";"49203.294991"
"237";"ISL";2016;"12.1";"53486.615773"
"238";"ISL";2017;"9.7";"55638.491978"
"239";"ISL";2018;"9.7";"58320.911643"
"240";"ISL";2019;"10.9";"60126.541783"
"241";"ISR";2010;"7.4";"28916.809205"
"242";"ISR";2011;"6.2";"30647.094772"
"243";"ISR";2012;"6.4";"31859.55362"
"244";"ISR";2013;"5.5";"34339.179297"
"245";"ISR";2014;"5.5";"34381.468362"
"246";"ISR";2015;"4.9";"35482.650947"
"247";"ISR";2016;"5.4";"37854.845318"
"248";"ISR";2017;"5.5";"39137.375997"
"249";"ISR";2018;"6";"40698.264187"
"250";"ISR";2019;"ni.podatka";"42313.763663"
"251";"ITA";2010;"5.8";"34866.522229"
"252";"ITA";2011;"6.2";"36203.328522"
"253";"ITA";2012;"6.3";"36091.373957"
"254";"ITA";2013;"6.3";"36267.925352"
"255";"ITA";2014;"6";"36475.976061"
"256";"ITA";2015;"5.7";"37206.331822"
"257";"ITA";2016;"5.5";"40267.222623"
