"";"spol";"starostne.skupine";"leto";"vzrok";"stevilo.umrlih"
"599";"M";"75-79";2016;"druge.nezgode";24
"600";"M";"75-79";2016;"samomori";24
"601";"M";"75-79";2017;"transportne.nezgode";4
"602";"M";"75-79";2017;"padci";33
"603";"M";"75-79";2017;"druge.nezgode";23
"604";"M";"75-79";2017;"samomori";16
"605";"M";"75-79";2018;"transportne.nezgode";4
"606";"M";"75-79";2018;"padci";24
"607";"M";"75-79";2018;"druge.nezgode";23
"608";"M";"75-79";2018;"samomori";20
"609";"M";"75-79";2019;"transportne.nezgode";6
"610";"M";"75-79";2019;"padci";39
"611";"M";"75-79";2019;"druge.nezgode";22
"612";"M";"75-79";2019;"samomori";28
"613";"M";"75-79";2020;"transportne.nezgode";3
"614";"M";"75-79";2020;"padci";49
"615";"M";"75-79";2020;"druge.nezgode";14
"616";"M";"75-79";2020;"samomori";27
"617";"M";"80+";2010;"transportne.nezgode";9
"618";"M";"80+";2010;"padci";94
"619";"M";"80+";2010;"druge.nezgode";31
"620";"M";"80+";2010;"samomori";29
"621";"M";"80+";2011;"transportne.nezgode";7
"622";"M";"80+";2011;"padci";110
"623";"M";"80+";2011;"druge.nezgode";46
"624";"M";"80+";2011;"samomori";37
"625";"M";"80+";2012;"transportne.nezgode";6
"626";"M";"80+";2012;"padci";97
"627";"M";"80+";2012;"druge.nezgode";41
"628";"M";"80+";2012;"samomori";32
"629";"M";"80+";2013;"transportne.nezgode";8
"630";"M";"80+";2013;"padci";115
"631";"M";"80+";2013;"druge.nezgode";19
"632";"M";"80+";2013;"samomori";32
"633";"M";"80+";2014;"transportne.nezgode";6
"634";"M";"80+";2014;"padci";98
"635";"M";"80+";2014;"druge.nezgode";24
"636";"M";"80+";2014;"samomori";27
"637";"M";"80+";2015;"transportne.nezgode";3
"638";"M";"80+";2015;"padci";123
"639";"M";"80+";2015;"druge.nezgode";30
"640";"M";"80+";2015;"samomori";40
"641";"M";"80+";2016;"transportne.nezgode";7
"642";"M";"80+";2016;"padci";128
"643";"M";"80+";2016;"druge.nezgode";40
"644";"M";"80+";2016;"samomori";29
"645";"M";"80+";2017;"transportne.nezgode";8
"646";"M";"80+";2017;"padci";178
"647";"M";"80+";2017;"druge.nezgode";36
"648";"M";"80+";2017;"samomori";54
"649";"M";"80+";2018;"transportne.nezgode";7
"650";"M";"80+";2018;"padci";172
"651";"M";"80+";2018;"druge.nezgode";20
"652";"M";"80+";2018;"samomori";32
"653";"M";"80+";2019;"transportne.nezgode";6
"654";"M";"80+";2019;"padci";179
"655";"M";"80+";2019;"druge.nezgode";32
"656";"M";"80+";2019;"samomori";33
"657";"M";"80+";2020;"transportne.nezgode";10
"658";"M";"80+";2020;"padci";228
"659";"M";"80+";2020;"druge.nezgode";40
"660";"M";"80+";2020;"samomori";48
"661";"Z";"0-9";2010;"transportne.nezgode";1
"662";"Z";"0-9";2010;"padci";2
"663";"Z";"0-9";2010;"druge.nezgode";1
"664";"Z";"0-9";2010;"samomori";0
"665";"Z";"0-9";2011;"transportne.nezgode";2
"666";"Z";"0-9";2011;"padci";0
"667";"Z";"0-9";2011;"druge.nezgode";0
"668";"Z";"0-9";2011;"samomori";0
"669";"Z";"0-9";2012;"transportne.nezgode";0
"670";"Z";"0-9";2012;"padci";0
"671";"Z";"0-9";2012;"druge.nezgode";0
"672";"Z";"0-9";2012;"samomori";0
"673";"Z";"0-9";2013;"transportne.nezgode";1
"674";"Z";"0-9";2013;"padci";0
"675";"Z";"0-9";2013;"druge.nezgode";0
"676";"Z";"0-9";2013;"samomori";0
"677";"Z";"0-9";2014;"transportne.nezgode";1
"678";"Z";"0-9";2014;"padci";0
"679";"Z";"0-9";2014;"druge.nezgode";0
"680";"Z";"0-9";2014;"samomori";0
"681";"Z";"0-9";2015;"transportne.nezgode";1
"682";"Z";"0-9";2015;"padci";0
"683";"Z";"0-9";2015;"druge.nezgode";2
"684";"Z";"0-9";2015;"samomori";0
"685";"Z";"0-9";2016;"transportne.nezgode";0
"686";"Z";"0-9";2016;"padci";1
"687";"Z";"0-9";2016;"druge.nezgode";2
"688";"Z";"0-9";2016;"samomori";0
"689";"Z";"0-9";2017;"transportne.nezgode";1
"690";"Z";"0-9";2017;"padci";0
"691";"Z";"0-9";2017;"druge.nezgode";1
"692";"Z";"0-9";2017;"samomori";0
"693";"Z";"0-9";2018;"transportne.nezgode";0
"694";"Z";"0-9";2018;"padci";0
"695";"Z";"0-9";2018;"druge.nezgode";1
"696";"Z";"0-9";2018;"samomori";0
"697";"Z";"0-9";2019;"transportne.nezgode";0
"698";"Z";"0-9";2019;"padci";0
"699";"Z";"0-9";2019;"druge.nezgode";2
"700";"Z";"0-9";2019;"samomori";0
"701";"Z";"0-9";2020;"transportne.nezgode";2
"702";"Z";"0-9";2020;"padci";0
"703";"Z";"0-9";2020;"druge.nezgode";0
"704";"Z";"0-9";2020;"samomori";0
"705";"Z";"10-19";2010;"transportne.nezgode";2
"706";"Z";"10-19";2010;"padci";0
"707";"Z";"10-19";2010;"druge.nezgode";0
"708";"Z";"10-19";2010;"samomori";1
"709";"Z";"10-19";2011;"transportne.nezgode";0
"710";"Z";"10-19";2011;"padci";1
"711";"Z";"10-19";2011;"druge.nezgode";2
"712";"Z";"10-19";2011;"samomori";0
"713";"Z";"10-19";2012;"transportne.nezgode";5
"714";"Z";"10-19";2012;"padci";1
"715";"Z";"10-19";2012;"druge.nezgode";1
"716";"Z";"10-19";2012;"samomori";2
"717";"Z";"10-19";2013;"transportne.nezgode";5
"718";"Z";"10-19";2013;"padci";0
"719";"Z";"10-19";2013;"druge.nezgode";0
"720";"Z";"10-19";2013;"samomori";1
"721";"Z";"10-19";2014;"transportne.nezgode";3
"722";"Z";"10-19";2014;"padci";0
"723";"Z";"10-19";2014;"druge.nezgode";0
"724";"Z";"10-19";2014;"samomori";0
"725";"Z";"10-19";2015;"transportne.nezgode";0
"726";"Z";"10-19";2015;"padci";0
"727";"Z";"10-19";2015;"druge.nezgode";1
"728";"Z";"10-19";2015;"samomori";2
"729";"Z";"10-19";2016;"transportne.nezgode";2
"730";"Z";"10-19";2016;"padci";0
"731";"Z";"10-19";2016;"druge.nezgode";2
"732";"Z";"10-19";2016;"samomori";3
"733";"Z";"10-19";2017;"transportne.nezgode";5
"734";"Z";"10-19";2017;"padci";0
"735";"Z";"10-19";2017;"druge.nezgode";0
"736";"Z";"10-19";2017;"samomori";0
"737";"Z";"10-19";2018;"transportne.nezgode";1
"738";"Z";"10-19";2018;"padci";0
"739";"Z";"10-19";2018;"druge.nezgode";0
"740";"Z";"10-19";2018;"samomori";3
"741";"Z";"10-19";2019;"transportne.nezgode";1
"742";"Z";"10-19";2019;"padci";1
"743";"Z";"10-19";2019;"druge.nezgode";0
"744";"Z";"10-19";2019;"samomori";2
"745";"Z";"10-19";2020;"transportne.nezgode";2
"746";"Z";"10-19";2020;"padci";0
"747";"Z";"10-19";2020;"druge.nezgode";0
"748";"Z";"10-19";2020;"samomori";2
"749";"Z";"20-24";2010;"transportne.nezgode";2
"750";"Z";"20-24";2010;"padci";0
"751";"Z";"20-24";2010;"druge.nezgode";1
"752";"Z";"20-24";2010;"samomori";0
"753";"Z";"20-24";2011;"transportne.nezgode";4
"754";"Z";"20-24";2011;"padci";0
"755";"Z";"20-24";2011;"druge.nezgode";1
"756";"Z";"20-24";2011;"samomori";1
"757";"Z";"20-24";2012;"transportne.nezgode";2
"758";"Z";"20-24";2012;"padci";0
"759";"Z";"20-24";2012;"druge.nezgode";1
"760";"Z";"20-24";2012;"samomori";0
"761";"Z";"20-24";2013;"transportne.nezgode";3
"762";"Z";"20-24";2013;"padci";0
"763";"Z";"20-24";2013;"druge.nezgode";0
"764";"Z";"20-24";2013;"samomori";1
"765";"Z";"20-24";2014;"transportne.nezgode";4
"766";"Z";"20-24";2014;"padci";0
"767";"Z";"20-24";2014;"druge.nezgode";1
"768";"Z";"20-24";2014;"samomori";3
"769";"Z";"20-24";2015;"transportne.nezgode";3
"770";"Z";"20-24";2015;"padci";0
"771";"Z";"20-24";2015;"druge.nezgode";2
"772";"Z";"20-24";2015;"samomori";1
"773";"Z";"20-24";2016;"transportne.nezgode";1
"774";"Z";"20-24";2016;"padci";0
"775";"Z";"20-24";2016;"druge.nezgode";1
"776";"Z";"20-24";2016;"samomori";0
"777";"Z";"20-24";2017;"transportne.nezgode";2
"778";"Z";"20-24";2017;"padci";0
"779";"Z";"20-24";2017;"druge.nezgode";2
"780";"Z";"20-24";2017;"samomori";4
"781";"Z";"20-24";2018;"transportne.nezgode";2
"782";"Z";"20-24";2018;"padci";0
"783";"Z";"20-24";2018;"druge.nezgode";0
"784";"Z";"20-24";2018;"samomori";0
"785";"Z";"20-24";2019;"transportne.nezgode";0
"786";"Z";"20-24";2019;"padci";0
"787";"Z";"20-24";2019;"druge.nezgode";0
"788";"Z";"20-24";2019;"samomori";1
"789";"Z";"20-24";2020;"transportne.nezgode";1
"790";"Z";"20-24";2020;"padci";0
"791";"Z";"20-24";2020;"druge.nezgode";2
"792";"Z";"20-24";2020;"samomori";1
"793";"Z";"25-29";2010;"transportne.nezgode";0
"794";"Z";"25-29";2010;"padci";0
"795";"Z";"25-29";2010;"druge.nezgode";0
"796";"Z";"25-29";2010;"samomori";3
"797";"Z";"25-29";2011;"transportne.nezgode";3
"798";"Z";"25-29";2011;"padci";0
"799";"Z";"25-29";2011;"druge.nezgode";0
"800";"Z";"25-29";2011;"samomori";2
"801";"Z";"25-29";2012;"transportne.nezgode";0
"802";"Z";"25-29";2012;"padci";1
"803";"Z";"25-29";2012;"druge.nezgode";0
"804";"Z";"25-29";2012;"samomori";7
"805";"Z";"25-29";2013;"transportne.nezgode";2
"806";"Z";"25-29";2013;"padci";0
"807";"Z";"25-29";2013;"druge.nezgode";2
"808";"Z";"25-29";2013;"samomori";4
"809";"Z";"25-29";2014;"transportne.nezgode";0
"810";"Z";"25-29";2014;"padci";0
"811";"Z";"25-29";2014;"druge.nezgode";1
"812";"Z";"25-29";2014;"samomori";1
"813";"Z";"25-29";2015;"transportne.nezgode";0
"814";"Z";"25-29";2015;"padci";0
"815";"Z";"25-29";2015;"druge.nezgode";2
"816";"Z";"25-29";2015;"samomori";2
"817";"Z";"25-29";2016;"transportne.nezgode";2
"818";"Z";"25-29";2016;"padci";2
"819";"Z";"25-29";2016;"druge.nezgode";1
"820";"Z";"25-29";2016;"samomori";0
"821";"Z";"25-29";2017;"transportne.nezgode";4
"822";"Z";"25-29";2017;"padci";0
"823";"Z";"25-29";2017;"druge.nezgode";0
"824";"Z";"25-29";2017;"samomori";2
"825";"Z";"25-29";2018;"transportne.nezgode";2
"826";"Z";"25-29";2018;"padci";0
"827";"Z";"25-29";2018;"druge.nezgode";1
"828";"Z";"25-29";2018;"samomori";3
"829";"Z";"25-29";2019;"transportne.nezgode";0
"830";"Z";"25-29";2019;"padci";2
"831";"Z";"25-29";2019;"druge.nezgode";0
"832";"Z";"25-29";2019;"samomori";2
"833";"Z";"25-29";2020;"transportne.nezgode";2
"834";"Z";"25-29";2020;"padci";1
"835";"Z";"25-29";2020;"druge.nezgode";1
"836";"Z";"25-29";2020;"samomori";1
"837";"Z";"30-34";2010;"transportne.nezgode";1
"838";"Z";"30-34";2010;"padci";0
"839";"Z";"30-34";2010;"druge.nezgode";5
"840";"Z";"30-34";2010;"samomori";2
"841";"Z";"30-34";2011;"transportne.nezgode";0
"842";"Z";"30-34";2011;"padci";0
"843";"Z";"30-34";2011;"druge.nezgode";1
"844";"Z";"30-34";2011;"samomori";5
"845";"Z";"30-34";2012;"transportne.nezgode";1
"846";"Z";"30-34";2012;"padci";0
"847";"Z";"30-34";2012;"druge.nezgode";1
"848";"Z";"30-34";2012;"samomori";2
"849";"Z";"30-34";2013;"transportne.nezgode";1
"850";"Z";"30-34";2013;"padci";0
"851";"Z";"30-34";2013;"druge.nezgode";2
"852";"Z";"30-34";2013;"samomori";4
"853";"Z";"30-34";2014;"transportne.nezgode";1
"854";"Z";"30-34";2014;"padci";1
"855";"Z";"30-34";2014;"druge.nezgode";3
"856";"Z";"30-34";2014;"samomori";2
"857";"Z";"30-34";2015;"transportne.nezgode";0
"858";"Z";"30-34";2015;"padci";0
"859";"Z";"30-34";2015;"druge.nezgode";1
"860";"Z";"30-34";2015;"samomori";3
"861";"Z";"30-34";2016;"transportne.nezgode";1
"862";"Z";"30-34";2016;"padci";0
"863";"Z";"30-34";2016;"druge.nezgode";4
"864";"Z";"30-34";2016;"samomori";4
"865";"Z";"30-34";2017;"transportne.nezgode";1
"866";"Z";"30-34";2017;"padci";1
"867";"Z";"30-34";2017;"druge.nezgode";1
"868";"Z";"30-34";2017;"samomori";2
"869";"Z";"30-34";2018;"transportne.nezgode";2
"870";"Z";"30-34";2018;"padci";0
"871";"Z";"30-34";2018;"druge.nezgode";0
"872";"Z";"30-34";2018;"samomori";3
"873";"Z";"30-34";2019;"transportne.nezgode";0
"874";"Z";"30-34";2019;"padci";0
"875";"Z";"30-34";2019;"druge.nezgode";0
"876";"Z";"30-34";2019;"samomori";4
"877";"Z";"30-34";2020;"transportne.nezgode";0
"878";"Z";"30-34";2020;"padci";0
"879";"Z";"30-34";2020;"druge.nezgode";1
"880";"Z";"30-34";2020;"samomori";1
"881";"Z";"35-39";2010;"transportne.nezgode";0
"882";"Z";"35-39";2010;"padci";0
"883";"Z";"35-39";2010;"druge.nezgode";1
"884";"Z";"35-39";2010;"samomori";3
"885";"Z";"35-39";2011;"transportne.nezgode";4
"886";"Z";"35-39";2011;"padci";0
"887";"Z";"35-39";2011;"druge.nezgode";3
"888";"Z";"35-39";2011;"samomori";4
"889";"Z";"35-39";2012;"transportne.nezgode";0
"890";"Z";"35-39";2012;"padci";1
"891";"Z";"35-39";2012;"druge.nezgode";1
"892";"Z";"35-39";2012;"samomori";5
"893";"Z";"35-39";2013;"transportne.nezgode";1
"894";"Z";"35-39";2013;"padci";0
"895";"Z";"35-39";2013;"druge.nezgode";1
"896";"Z";"35-39";2013;"samomori";0
"897";"Z";"35-39";2014;"transportne.nezgode";2
"898";"Z";"35-39";2014;"padci";1
"899";"Z";"35-39";2014;"druge.nezgode";1
"900";"Z";"35-39";2014;"samomori";4
"901";"Z";"35-39";2015;"transportne.nezgode";0
"902";"Z";"35-39";2015;"padci";0
"903";"Z";"35-39";2015;"druge.nezgode";1
"904";"Z";"35-39";2015;"samomori";6
"905";"Z";"35-39";2016;"transportne.nezgode";2
"906";"Z";"35-39";2016;"padci";1
"907";"Z";"35-39";2016;"druge.nezgode";1
"908";"Z";"35-39";2016;"samomori";4
"909";"Z";"35-39";2017;"transportne.nezgode";1
"910";"Z";"35-39";2017;"padci";0
"911";"Z";"35-39";2017;"druge.nezgode";1
"912";"Z";"35-39";2017;"samomori";0
"913";"Z";"35-39";2018;"transportne.nezgode";0
"914";"Z";"35-39";2018;"padci";0
"915";"Z";"35-39";2018;"druge.nezgode";0
"916";"Z";"35-39";2018;"samomori";3
"917";"Z";"35-39";2019;"transportne.nezgode";0
"918";"Z";"35-39";2019;"padci";0
"919";"Z";"35-39";2019;"druge.nezgode";1
"920";"Z";"35-39";2019;"samomori";10
"921";"Z";"35-39";2020;"transportne.nezgode";0
"922";"Z";"35-39";2020;"padci";0
"923";"Z";"35-39";2020;"druge.nezgode";3
"924";"Z";"35-39";2020;"samomori";5
"925";"Z";"40-44";2010;"transportne.nezgode";5
"926";"Z";"40-44";2010;"padci";0
"927";"Z";"40-44";2010;"druge.nezgode";6
"928";"Z";"40-44";2010;"samomori";6
"929";"Z";"40-44";2011;"transportne.nezgode";3
"930";"Z";"40-44";2011;"padci";1
"931";"Z";"40-44";2011;"druge.nezgode";4
"932";"Z";"40-44";2011;"samomori";5
"933";"Z";"40-44";2012;"transportne.nezgode";1
"934";"Z";"40-44";2012;"padci";0
"935";"Z";"40-44";2012;"druge.nezgode";4
"936";"Z";"40-44";2012;"samomori";3
"937";"Z";"40-44";2013;"transportne.nezgode";1
"938";"Z";"40-44";2013;"padci";1
"939";"Z";"40-44";2013;"druge.nezgode";3
"940";"Z";"40-44";2013;"samomori";7
"941";"Z";"40-44";2014;"transportne.nezgode";0
"942";"Z";"40-44";2014;"padci";0
"943";"Z";"40-44";2014;"druge.nezgode";2
"944";"Z";"40-44";2014;"samomori";2
"945";"Z";"40-44";2015;"transportne.nezgode";0
"946";"Z";"40-44";2015;"padci";0
"947";"Z";"40-44";2015;"druge.nezgode";3
"948";"Z";"40-44";2015;"samomori";3
"949";"Z";"40-44";2016;"transportne.nezgode";1
"950";"Z";"40-44";2016;"padci";0
"951";"Z";"40-44";2016;"druge.nezgode";0
"952";"Z";"40-44";2016;"samomori";4
"953";"Z";"40-44";2017;"transportne.nezgode";1
"954";"Z";"40-44";2017;"padci";2
"955";"Z";"40-44";2017;"druge.nezgode";1
"956";"Z";"40-44";2017;"samomori";4
"957";"Z";"40-44";2018;"transportne.nezgode";1
"958";"Z";"40-44";2018;"padci";0
"959";"Z";"40-44";2018;"druge.nezgode";3
"960";"Z";"40-44";2018;"samomori";9
"961";"Z";"40-44";2019;"transportne.nezgode";2
"962";"Z";"40-44";2019;"padci";1
"963";"Z";"40-44";2019;"druge.nezgode";2
"964";"Z";"40-44";2019;"samomori";2
"965";"Z";"40-44";2020;"transportne.nezgode";0
"966";"Z";"40-44";2020;"padci";0
"967";"Z";"40-44";2020;"druge.nezgode";2
"968";"Z";"40-44";2020;"samomori";2
"969";"Z";"45-49";2010;"transportne.nezgode";3
"970";"Z";"45-49";2010;"padci";2
"971";"Z";"45-49";2010;"druge.nezgode";4
"972";"Z";"45-49";2010;"samomori";2
"973";"Z";"45-49";2011;"transportne.nezgode";2
"974";"Z";"45-49";2011;"padci";1
"975";"Z";"45-49";2011;"druge.nezgode";5
"976";"Z";"45-49";2011;"samomori";14
"977";"Z";"45-49";2012;"transportne.nezgode";3
"978";"Z";"45-49";2012;"padci";2
"979";"Z";"45-49";2012;"druge.nezgode";6
"980";"Z";"45-49";2012;"samomori";3
"981";"Z";"45-49";2013;"transportne.nezgode";2
"982";"Z";"45-49";2013;"padci";0
"983";"Z";"45-49";2013;"druge.nezgode";8
"984";"Z";"45-49";2013;"samomori";5
"985";"Z";"45-49";2014;"transportne.nezgode";7
"986";"Z";"45-49";2014;"padci";1
"987";"Z";"45-49";2014;"druge.nezgode";2
"988";"Z";"45-49";2014;"samomori";4
"989";"Z";"45-49";2015;"transportne.nezgode";2
"990";"Z";"45-49";2015;"padci";2
"991";"Z";"45-49";2015;"druge.nezgode";3
"992";"Z";"45-49";2015;"samomori";12
"993";"Z";"45-49";2016;"transportne.nezgode";2
"994";"Z";"45-49";2016;"padci";0
"995";"Z";"45-49";2016;"druge.nezgode";0
"996";"Z";"45-49";2016;"samomori";5
"997";"Z";"45-49";2017;"transportne.nezgode";1
"998";"Z";"45-49";2017;"padci";1
"999";"Z";"45-49";2017;"druge.nezgode";6
"1000";"Z";"45-49";2017;"samomori";4
"1001";"Z";"45-49";2018;"transportne.nezgode";0
"1002";"Z";"45-49";2018;"padci";0
"1003";"Z";"45-49";2018;"druge.nezgode";2
"1004";"Z";"45-49";2018;"samomori";4
"1005";"Z";"45-49";2019;"transportne.nezgode";2
"1006";"Z";"45-49";2019;"padci";0
"1007";"Z";"45-49";2019;"druge.nezgode";5
"1008";"Z";"45-49";2019;"samomori";9
"1009";"Z";"45-49";2020;"transportne.nezgode";1
"1010";"Z";"45-49";2020;"padci";0
"1011";"Z";"45-49";2020;"druge.nezgode";2
"1012";"Z";"45-49";2020;"samomori";7
"1013";"Z";"50-54";2010;"transportne.nezgode";2
"1014";"Z";"50-54";2010;"padci";2
"1015";"Z";"50-54";2010;"druge.nezgode";3
"1016";"Z";"50-54";2010;"samomori";15
"1017";"Z";"50-54";2011;"transportne.nezgode";3
"1018";"Z";"50-54";2011;"padci";2
"1019";"Z";"50-54";2011;"druge.nezgode";5
"1020";"Z";"50-54";2011;"samomori";7
"1021";"Z";"50-54";2012;"transportne.nezgode";3
"1022";"Z";"50-54";2012;"padci";1
"1023";"Z";"50-54";2012;"druge.nezgode";4
"1024";"Z";"50-54";2012;"samomori";8
"1025";"Z";"50-54";2013;"transportne.nezgode";2
"1026";"Z";"50-54";2013;"padci";1
"1027";"Z";"50-54";2013;"druge.nezgode";6
"1028";"Z";"50-54";2013;"samomori";7
"1029";"Z";"50-54";2014;"transportne.nezgode";1
"1030";"Z";"50-54";2014;"padci";2
"1031";"Z";"50-54";2014;"druge.nezgode";0
"1032";"Z";"50-54";2014;"samomori";11
"1033";"Z";"50-54";2015;"transportne.nezgode";1
"1034";"Z";"50-54";2015;"padci";1
"1035";"Z";"50-54";2015;"druge.nezgode";6
"1036";"Z";"50-54";2015;"samomori";4
"1037";"Z";"50-54";2016;"transportne.nezgode";1
"1038";"Z";"50-54";2016;"padci";0
"1039";"Z";"50-54";2016;"druge.nezgode";4
"1040";"Z";"50-54";2016;"samomori";11
"1041";"Z";"50-54";2017;"transportne.nezgode";1
"1042";"Z";"50-54";2017;"padci";1
"1043";"Z";"50-54";2017;"druge.nezgode";5
"1044";"Z";"50-54";2017;"samomori";11
"1045";"Z";"50-54";2018;"transportne.nezgode";1
"1046";"Z";"50-54";2018;"padci";0
"1047";"Z";"50-54";2018;"druge.nezgode";3
"1048";"Z";"50-54";2018;"samomori";8
"1049";"Z";"50-54";2019;"transportne.nezgode";1
"1050";"Z";"50-54";2019;"padci";1
"1051";"Z";"50-54";2019;"druge.nezgode";6
"1052";"Z";"50-54";2019;"samomori";8
"1053";"Z";"50-54";2020;"transportne.nezgode";2
"1054";"Z";"50-54";2020;"padci";0
"1055";"Z";"50-54";2020;"druge.nezgode";5
"1056";"Z";"50-54";2020;"samomori";2
"1057";"Z";"55-59";2010;"transportne.nezgode";4
"1058";"Z";"55-59";2010;"padci";4
"1059";"Z";"55-59";2010;"druge.nezgode";8
"1060";"Z";"55-59";2010;"samomori";9
"1061";"Z";"55-59";2011;"transportne.nezgode";1
"1062";"Z";"55-59";2011;"padci";4
"1063";"Z";"55-59";2011;"druge.nezgode";14
"1064";"Z";"55-59";2011;"samomori";5
"1065";"Z";"55-59";2012;"transportne.nezgode";4
"1066";"Z";"55-59";2012;"padci";1
"1067";"Z";"55-59";2012;"druge.nezgode";10
"1068";"Z";"55-59";2012;"samomori";12
"1069";"Z";"55-59";2013;"transportne.nezgode";3
"1070";"Z";"55-59";2013;"padci";4
"1071";"Z";"55-59";2013;"druge.nezgode";8
"1072";"Z";"55-59";2013;"samomori";8
"1073";"Z";"55-59";2014;"transportne.nezgode";3
"1074";"Z";"55-59";2014;"padci";1
"1075";"Z";"55-59";2014;"druge.nezgode";4
"1076";"Z";"55-59";2014;"samomori";4
"1077";"Z";"55-59";2015;"transportne.nezgode";2
"1078";"Z";"55-59";2015;"padci";1
"1079";"Z";"55-59";2015;"druge.nezgode";2
"1080";"Z";"55-59";2015;"samomori";4
"1081";"Z";"55-59";2016;"transportne.nezgode";3
"1082";"Z";"55-59";2016;"padci";3
"1083";"Z";"55-59";2016;"druge.nezgode";8
"1084";"Z";"55-59";2016;"samomori";9
"1085";"Z";"55-59";2017;"transportne.nezgode";1
"1086";"Z";"55-59";2017;"padci";1
"1087";"Z";"55-59";2017;"druge.nezgode";3
"1088";"Z";"55-59";2017;"samomori";11
"1089";"Z";"55-59";2018;"transportne.nezgode";0
"1090";"Z";"55-59";2018;"padci";0
"1091";"Z";"55-59";2018;"druge.nezgode";5
"1092";"Z";"55-59";2018;"samomori";8
"1093";"Z";"55-59";2019;"transportne.nezgode";0
"1094";"Z";"55-59";2019;"padci";2
"1095";"Z";"55-59";2019;"druge.nezgode";4
"1096";"Z";"55-59";2019;"samomori";4
"1097";"Z";"55-59";2020;"transportne.nezgode";3
"1098";"Z";"55-59";2020;"padci";0
"1099";"Z";"55-59";2020;"druge.nezgode";2
"1100";"Z";"55-59";2020;"samomori";5
"1101";"Z";"60-64";2010;"transportne.nezgode";0
"1102";"Z";"60-64";2010;"padci";4
"1103";"Z";"60-64";2010;"druge.nezgode";2
"1104";"Z";"60-64";2010;"samomori";14
"1105";"Z";"60-64";2011;"transportne.nezgode";1
"1106";"Z";"60-64";2011;"padci";1
"1107";"Z";"60-64";2011;"druge.nezgode";12
"1108";"Z";"60-64";2011;"samomori";11
"1109";"Z";"60-64";2012;"transportne.nezgode";4
"1110";"Z";"60-64";2012;"padci";1
"1111";"Z";"60-64";2012;"druge.nezgode";10
"1112";"Z";"60-64";2012;"samomori";7
"1113";"Z";"60-64";2013;"transportne.nezgode";2
"1114";"Z";"60-64";2013;"padci";3
"1115";"Z";"60-64";2013;"druge.nezgode";6
"1116";"Z";"60-64";2013;"samomori";10
"1117";"Z";"60-64";2014;"transportne.nezgode";3
"1118";"Z";"60-64";2014;"padci";2
"1119";"Z";"60-64";2014;"druge.nezgode";6
"1120";"Z";"60-64";2014;"samomori";6
"1121";"Z";"60-64";2015;"transportne.nezgode";1
"1122";"Z";"60-64";2015;"padci";1
"1123";"Z";"60-64";2015;"druge.nezgode";4
"1124";"Z";"60-64";2015;"samomori";16
"1125";"Z";"60-64";2016;"transportne.nezgode";2
"1126";"Z";"60-64";2016;"padci";4
"1127";"Z";"60-64";2016;"druge.nezgode";8
"1128";"Z";"60-64";2016;"samomori";1
"1129";"Z";"60-64";2017;"transportne.nezgode";0
"1130";"Z";"60-64";2017;"padci";3
"1131";"Z";"60-64";2017;"druge.nezgode";4
"1132";"Z";"60-64";2017;"samomori";12
"1133";"Z";"60-64";2018;"transportne.nezgode";2
"1134";"Z";"60-64";2018;"padci";4
"1135";"Z";"60-64";2018;"druge.nezgode";11
"1136";"Z";"60-64";2018;"samomori";8
"1137";"Z";"60-64";2019;"transportne.nezgode";2
"1138";"Z";"60-64";2019;"padci";3
"1139";"Z";"60-64";2019;"druge.nezgode";3
"1140";"Z";"60-64";2019;"samomori";7
"1141";"Z";"60-64";2020;"transportne.nezgode";2
"1142";"Z";"60-64";2020;"padci";4
"1143";"Z";"60-64";2020;"druge.nezgode";4
"1144";"Z";"60-64";2020;"samomori";6
"1145";"Z";"65-69";2010;"transportne.nezgode";5
"1146";"Z";"65-69";2010;"padci";4
"1147";"Z";"65-69";2010;"druge.nezgode";14
"1148";"Z";"65-69";2010;"samomori";4
"1149";"Z";"65-69";2011;"transportne.nezgode";0
"1150";"Z";"65-69";2011;"padci";3
"1151";"Z";"65-69";2011;"druge.nezgode";21
"1152";"Z";"65-69";2011;"samomori";8
"1153";"Z";"65-69";2012;"transportne.nezgode";1
"1154";"Z";"65-69";2012;"padci";3
"1155";"Z";"65-69";2012;"druge.nezgode";7
"1156";"Z";"65-69";2012;"samomori";13
"1157";"Z";"65-69";2013;"transportne.nezgode";2
"1158";"Z";"65-69";2013;"padci";5
"1159";"Z";"65-69";2013;"druge.nezgode";10
"1160";"Z";"65-69";2013;"samomori";10
"1161";"Z";"65-69";2014;"transportne.nezgode";2
"1162";"Z";"65-69";2014;"padci";2
"1163";"Z";"65-69";2014;"druge.nezgode";7
"1164";"Z";"65-69";2014;"samomori";1
"1165";"Z";"65-69";2015;"transportne.nezgode";3
"1166";"Z";"65-69";2015;"padci";3
"1167";"Z";"65-69";2015;"druge.nezgode";6
"1168";"Z";"65-69";2015;"samomori";11
"1169";"Z";"65-69";2016;"transportne.nezgode";3
"1170";"Z";"65-69";2016;"padci";3
"1171";"Z";"65-69";2016;"druge.nezgode";9
"1172";"Z";"65-69";2016;"samomori";6
"1173";"Z";"65-69";2017;"transportne.nezgode";3
"1174";"Z";"65-69";2017;"padci";2
"1175";"Z";"65-69";2017;"druge.nezgode";8
"1176";"Z";"65-69";2017;"samomori";5
