"";"spol";"starostne.skupine";"leto";"vzrok";"stevilo.umrlih"
"121";"M";"20-24";2018;"transportne.nezgode";6
"122";"M";"20-24";2018;"padci";0
"123";"M";"20-24";2018;"druge.nezgode";3
"124";"M";"20-24";2018;"samomori";7
"125";"M";"20-24";2019;"transportne.nezgode";4
"126";"M";"20-24";2019;"padci";2
"127";"M";"20-24";2019;"druge.nezgode";3
"128";"M";"20-24";2019;"samomori";7
"129";"M";"20-24";2020;"transportne.nezgode";6
"130";"M";"20-24";2020;"padci";3
"131";"M";"20-24";2020;"druge.nezgode";2
"132";"M";"20-24";2020;"samomori";9
"133";"M";"25-29";2010;"transportne.nezgode";11
"134";"M";"25-29";2010;"padci";3
"135";"M";"25-29";2010;"druge.nezgode";8
"136";"M";"25-29";2010;"samomori";16
"137";"M";"25-29";2011;"transportne.nezgode";8
"138";"M";"25-29";2011;"padci";0
"139";"M";"25-29";2011;"druge.nezgode";7
"140";"M";"25-29";2011;"samomori";12
"141";"M";"25-29";2012;"transportne.nezgode";11
"142";"M";"25-29";2012;"padci";1
"143";"M";"25-29";2012;"druge.nezgode";9
"144";"M";"25-29";2012;"samomori";18
"145";"M";"25-29";2013;"transportne.nezgode";7
"146";"M";"25-29";2013;"padci";1
"147";"M";"25-29";2013;"druge.nezgode";4
"148";"M";"25-29";2013;"samomori";20
"149";"M";"25-29";2014;"transportne.nezgode";5
"150";"M";"25-29";2014;"padci";0
"151";"M";"25-29";2014;"druge.nezgode";9
"152";"M";"25-29";2014;"samomori";15
"153";"M";"25-29";2015;"transportne.nezgode";8
"154";"M";"25-29";2015;"padci";1
"155";"M";"25-29";2015;"druge.nezgode";8
"156";"M";"25-29";2015;"samomori";12
"157";"M";"25-29";2016;"transportne.nezgode";6
"158";"M";"25-29";2016;"padci";3
"159";"M";"25-29";2016;"druge.nezgode";8
"160";"M";"25-29";2016;"samomori";13
"161";"M";"25-29";2017;"transportne.nezgode";10
"162";"M";"25-29";2017;"padci";1
"163";"M";"25-29";2017;"druge.nezgode";5
"164";"M";"25-29";2017;"samomori";19
"165";"M";"25-29";2018;"transportne.nezgode";5
"166";"M";"25-29";2018;"padci";2
"167";"M";"25-29";2018;"druge.nezgode";5
"168";"M";"25-29";2018;"samomori";9
"169";"M";"25-29";2019;"transportne.nezgode";6
"170";"M";"25-29";2019;"padci";1
"171";"M";"25-29";2019;"druge.nezgode";8
"172";"M";"25-29";2019;"samomori";11
"173";"M";"25-29";2020;"transportne.nezgode";4
"174";"M";"25-29";2020;"padci";1
"175";"M";"25-29";2020;"druge.nezgode";9
"176";"M";"25-29";2020;"samomori";2
"177";"M";"30-34";2010;"transportne.nezgode";16
"178";"M";"30-34";2010;"padci";3
"179";"M";"30-34";2010;"druge.nezgode";13
"180";"M";"30-34";2010;"samomori";16
"181";"M";"30-34";2011;"transportne.nezgode";12
"182";"M";"30-34";2011;"padci";3
